Morvir_scaffold102.g15.t1	28
Morvir_scaffold10.g67.t1	8
Morvir_scaffold119.g44.t1	1
Morvir_scaffold122.g10.t1	7
Morvir_scaffold131.g36.t1	1
Morvir_scaffold154.g16.t2	29
Morvir_scaffold177.g17.t1	14
Morvir_scaffold17.g141.t1	25
Morvir_scaffold1.g18.t2	8
Morvir_scaffold208.g24.t1	7
Morvir_scaffold209.g16.t1	15
Morvir_scaffold217.g1.t1	6
Morvir_scaffold21.g164.t3	14
Morvir_scaffold21.g38.t2	32
Morvir_scaffold237.g17.t1	2
Morvir_scaffold238.g19.t1	19
Morvir_scaffold240.g28.t1	15
Morvir_scaffold263.g3.t2	9
Morvir_scaffold2848.g1.t1	1
Morvir_scaffold2.g47.t1	11
Morvir_scaffold32.g2.t1	38
Morvir_scaffold390.g6.t3	23
Morvir_scaffold39.g109.t1	1
Morvir_scaffold42.g50.t1	1
Morvir_scaffold434.g2.t1	8
Morvir_scaffold44.g13.t1	3
Morvir_scaffold44.g6.t2	13
Morvir_scaffold484.g4.t1	3
Morvir_scaffold48.g18.t1	1
Morvir_scaffold56.g37.t3	14
Morvir_scaffold5.g135.t1	12
Morvir_scaffold60.g79.t1	8
Morvir_scaffold707.g4.t2	11
Morvir_scaffold76.g69.t2	28
Morvir_scaffold7.g45.t2	44
Morvir_scaffold81.g59.t1	8
Morvir_scaffold81.g60.t1	12
Morvir_scaffold92.g50.t2	17
Morvir_scaffold97.g15.t1	1
