Sros_EGD76390	zf-CCHC_5 RT_RNaseH Integrase_H2C2 Chromo
Sros_EGD73249	RVT_1 RT_RNaseH_2 Integrase_H2C2 Chromo
Sros_EGD74825	RVT_1 Integrase_H2C2 Chromo
Sros_EGD83709	RVP_2 RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo
Sros_EGD82116	Integrase_H2C2 Chromo
Sros_EGD75179	Retrotrans_gag zf-CCHC RVT_1 RT_RNaseH Integrase_H2C2 Chromo
Sros_EGD82126	zf-CCHC_5 RT_RNaseH Integrase_H2C2 Chromo
Sros_EGD81417	RVT_1 RT_RNaseH Integrase_H2C2 Chromo
Sros_EGD73763	RVT_1 RT_RNaseH Integrase_H2C2 Chromo
Sros_EGD76334	Retrotrans_gag zf-CCHC RVT_1 RT_RNaseH Integrase_H2C2 Chromo
