Hduj_gnl_WGS_MTYJ_mrna.BV898_00053.1	Hduj_1_53
Hduj_gnl_WGS_MTYJ_mrna.BV898_00054.1	Hduj_1_54
Hduj_gnl_WGS_MTYJ_mrna.BV898_00055.1	Hduj_1_55
Hduj_gnl_WGS_MTYJ_mrna.BV898_00056.1	Hduj_1_56
Hduj_gnl_WGS_MTYJ_mrna.BV898_00057.1	Hduj_1_57
Hduj_gnl_WGS_MTYJ_mrna.BV898_00058.1	Hduj_1_58
Hduj_gnl_WGS_MTYJ_mrna.BV898_00059.1	Hduj_1_59
Hduj_gnl_WGS_MTYJ_mrna.BV898_00060.1	Hduj_1_60
Hduj_gnl_WGS_MTYJ_mrna.BV898_00061.1	Hduj_1_61
Hduj_gnl_WGS_MTYJ_mrna.BV898_00062.1	Hduj_1_62
Hduj_gnl_WGS_MTYJ_mrna.BV898_00063.1	Hduj_1_63
Hduj_gnl_WGS_MTYJ_mrna.BV898_00064.1	Hduj_1_64
Hduj_gnl_WGS_MTYJ_mrna.BV898_00065.1	Hduj_1_65
Hduj_gnl_WGS_MTYJ_mrna.BV898_00066.1	Hduj_1_66
Hduj_gnl_WGS_MTYJ_mrna.BV898_00067.1	Hduj_1_67
Hduj_gnl_WGS_MTYJ_mrna.BV898_00068.1	Hduj_1_68
Hduj_gnl_WGS_MTYJ_mrna.BV898_00069.1	Hduj_1_69
Hduj_gnl_WGS_MTYJ_mrna.BV898_00070.1	Hduj_1_70
Hduj_gnl_WGS_MTYJ_mrna.BV898_00071.1	Hduj_1_71
Hduj_gnl_WGS_MTYJ_mrna.BV898_00072.1	Hduj_1_72
Hduj_gnl_WGS_MTYJ_mrna.BV898_00073.1	Hduj_1_73
Hduj_gnl_WGS_MTYJ_mrna.BV898_00074.1	Hduj_1_74
Hduj_gnl_WGS_MTYJ_mrna.BV898_00075.1	Hduj_1_75
Hduj_gnl_WGS_MTYJ_mrna.BV898_00076.1	Hduj_1_76
Hduj_gnl_WGS_MTYJ_mrna.BV898_00077.1	Hduj_1_77
Hduj_gnl_WGS_MTYJ_mrna.BV898_00078.1	Hduj_1_78
Hduj_gnl_WGS_MTYJ_mrna.BV898_00079.1	Hduj_1_79
Hduj_gnl_WGS_MTYJ_mrna.BV898_00080.1	Hduj_1_80
Hduj_gnl_WGS_MTYJ_mrna.BV898_00081.1	Hduj_1_81
Hduj_gnl_WGS_MTYJ_mrna.BV898_00082.1	Hduj_1_82
Hduj_gnl_WGS_MTYJ_mrna.BV898_00083.1	Hduj_1_83
Hduj_gnl_WGS_MTYJ_mrna.BV898_00084.1	Hduj_1_84
Hduj_gnl_WGS_MTYJ_mrna.BV898_00085.1	Hduj_1_85
Hduj_gnl_WGS_MTYJ_mrna.BV898_00086.1	Hduj_1_86
Hduj_gnl_WGS_MTYJ_mrna.BV898_00087.1	Hduj_1_87
Hduj_gnl_WGS_MTYJ_mrna.BV898_00088.1	Hduj_1_88
Hduj_gnl_WGS_MTYJ_mrna.BV898_00089.1	Hduj_1_89
Hduj_gnl_WGS_MTYJ_mrna.BV898_00090.1	Hduj_1_90
Hduj_gnl_WGS_MTYJ_mrna.BV898_00091.1	Hduj_1_91
Hduj_gnl_WGS_MTYJ_mrna.BV898_00092.1	Hduj_1_92
Hduj_gnl_WGS_MTYJ_mrna.BV898_00093.1	Hduj_1_93
Hduj_gnl_WGS_MTYJ_mrna.BV898_00094.1	Hduj_1_94
Hduj_gnl_WGS_MTYJ_mrna.BV898_00095.1	Hduj_1_95
Hduj_gnl_WGS_MTYJ_mrna.BV898_00096.1	Hduj_1_96
Hduj_gnl_WGS_MTYJ_mrna.BV898_00097.1	Hduj_1_97
Hduj_gnl_WGS_MTYJ_mrna.BV898_00098.1	Hduj_1_98
Hduj_gnl_WGS_MTYJ_mrna.BV898_00099.1	Hduj_1_99
Hduj_gnl_WGS_MTYJ_mrna.BV898_00100.1	Hduj_1_100
Hduj_gnl_WGS_MTYJ_mrna.BV898_00101.1	Hduj_1_101
