Spom_SPAC31A2.08.1	Spom_2_163
Spom_SPAC31A2.10.1	Spom_2_164
Spom_SPAC31A2.11c.1	Spom_2_165
Spom_SPAC31A2.12.1	Spom_2_166
Spom_SPAC31A2.13c.1	Spom_2_167
Spom_SPAC31A2.14.1	Spom_2_168
Spom_SPAC31A2.15c.1	Spom_2_169
Spom_SPAC31A2.16.1	Spom_2_170
Spom_SPAC13C5.01c.1	Spom_2_171
Spom_SPAC13C5.02.1	Spom_2_172
Spom_SPAC13C5.03.1	Spom_2_173
Spom_SPAC13C5.04.1	Spom_2_174
Spom_SPAC13C5.05c.1	Spom_2_175
Spom_SPAC13C5.06c.1	Spom_2_176
Spom_SPAC13C5.07.1	Spom_2_177
Spom_SPAC23E2.01.1	Spom_2_178
Spom_SPAC23E2.02.1	Spom_2_179
Spom_SPAC23E2.03c.1	Spom_2_180
Spom_SPAC24H6.13.1	Spom_2_181
Spom_SPAC24H6.12c.1	Spom_2_182
Spom_SPAC24H6.11c.1	Spom_2_183
Spom_SPAC24H6.10c.1	Spom_2_184
Spom_SPAC24H6.09.1	Spom_2_185
Spom_SPAC24H6.08.1	Spom_2_186
Spom_SPAC24H6.07.1	Spom_2_187
Spom_SPAC24H6.06.1	Spom_2_188
Spom_SPAC24H6.05.1	Spom_2_189
Spom_SPAC24H6.04.1	Spom_2_190
Spom_SPAC24H6.03.1	Spom_2_191
Spom_SPAC24H6.02c.1	Spom_2_192
Spom_SPAC24H6.01c.1	Spom_2_193
Spom_SPAPB21F2.02.1	Spom_2_194
Spom_SPAPB21F2.03.1	Spom_2_195
Spom_SPAC227.01c.1	Spom_2_196
Spom_SPAC227.19c.1	Spom_2_197
Spom_SPAC227.02c.1	Spom_2_198
Spom_SPAC227.03c.1	Spom_2_199
Spom_SPAC227.04.1	Spom_2_200
Spom_SPAC227.05.1	Spom_2_201
Spom_SPAC227.06.1	Spom_2_202
Spom_SPAC227.07c.1	Spom_2_203
Spom_SPAC227.08c.1	Spom_2_204
Spom_SPAC227.09.1	Spom_2_205
Spom_SPAC227.10.1	Spom_2_206
Spom_SPAC227.11c.1	Spom_2_207
Spom_SPAC227.12.1	Spom_2_208
Spom_SPAC227.13c.1	Spom_2_209
Spom_SPAC227.14.1	Spom_2_210
Spom_SPAC227.15.1	Spom_2_211
Spom_SPAC227.16c.1	Spom_2_212
Spom_SPAC227.17c.1	Spom_2_213
Spom_SPAC227.18.1	Spom_2_214
Spom_SPAC2F7.02c.1	Spom_2_215
Spom_SPAC2F7.03c.1	Spom_2_216
Spom_SPAC2F7.04.1	Spom_2_217
Spom_SPAC2F7.05c.1	Spom_2_218
Spom_SPAC2F7.06c.1	Spom_2_219
Spom_SPAC2F7.07c.1	Spom_2_220
Spom_SPAC2F7.08c.1	Spom_2_221
Spom_SPAC2F7.09c.1	Spom_2_222
Spom_SPAC2F7.10.1	Spom_2_223
Spom_SPAC2F7.11.1	Spom_2_224
Spom_SPAC2F7.13c.1	Spom_2_225
