Tetwil_g9826.t2	Tetwil_1_64
Tetwil_g9827.t1	Tetwil_1_65
Tetwil_g9828.t1	Tetwil_1_66
Tetwil_g9829.t1	Tetwil_1_67
Tetwil_g9830.t1	Tetwil_1_68
Tetwil_g9831.t1	Tetwil_1_69
Tetwil_g9832.t1	Tetwil_1_70
Tetwil_g9833.t1	Tetwil_1_71
Tetwil_g9834.t1	Tetwil_1_72
Tetwil_g9835.t1	Tetwil_1_73
Tetwil_g9836.t1	Tetwil_1_74
Tetwil_g9837.t1	Tetwil_1_75
Tetwil_g9838.t1	Tetwil_1_76
Tetwil_g9839.t1	Tetwil_1_77
Tetwil_g9840.t1	Tetwil_1_78
Tetwil_g9841.t1	Tetwil_1_79
Tetwil_g9842.t1	Tetwil_1_80
Tetwil_g9843.t1	Tetwil_1_81
Tetwil_g9844.t1	Tetwil_1_82
Tetwil_g9845.t1	Tetwil_1_83
Tetwil_g9846.t1	Tetwil_1_84
Tetwil_g9847.t2	Tetwil_1_85
Tetwil_g9848.t1	Tetwil_1_86
Tetwil_g9849.t2	Tetwil_1_87
Tetwil_g9850.t1	Tetwil_1_88
Tetwil_g9851.t1	Tetwil_1_89
Tetwil_g9852.t1	Tetwil_1_90
Tetwil_g9853.t1	Tetwil_1_91
Tetwil_g9854.t1	Tetwil_1_92
Tetwil_g9855.t1	Tetwil_1_93
Tetwil_g9856.t1	Tetwil_1_94
Tetwil_g9857.t1	Tetwil_1_95
Tetwil_g9858.t2	Tetwil_1_96
Tetwil_g9859.t1	Tetwil_1_97
Tetwil_g9860.t1	Tetwil_1_98
Tetwil_g9861.t1	Tetwil_1_99
Tetwil_g9862.t1	Tetwil_1_100
Tetwil_g9863.t2	Tetwil_1_101
Tetwil_g9864.t1	Tetwil_1_102
Tetwil_g9865.t1	Tetwil_1_103
Tetwil_g9866.t1	Tetwil_1_104
Tetwil_g9867.t1	Tetwil_1_105
Tetwil_g9868.t2	Tetwil_1_106
Tetwil_g9869.t1	Tetwil_1_107
Tetwil_g9870.t1	Tetwil_1_108
Tetwil_g9871.t1	Tetwil_1_109
Tetwil_g9872.t1	Tetwil_1_110
Tetwil_g9873.t1	Tetwil_1_111
Tetwil_g9874.t1	Tetwil_1_112
Tetwil_g9875.t1	Tetwil_1_113
Tetwil_g9876.t1	Tetwil_1_114
Tetwil_g9877.t1	Tetwil_1_115
Tetwil_g9878.t2	Tetwil_1_116
Tetwil_g9879.t2	Tetwil_1_117
Tetwil_g9880.t1	Tetwil_1_118
Tetwil_g9881.t1	Tetwil_1_119
Tetwil_g9882.t1	Tetwil_1_120
Tetwil_g9883.t1	Tetwil_1_121
Tetwil_g9884.t1	Tetwil_1_122
Tetwil_g9885.t1	Tetwil_1_123
Tetwil_g9886.t2	Tetwil_1_124
Tetwil_g9887.t1	Tetwil_1_125
Tetwil_g9888.t1	Tetwil_1_126
Tetwil_g9889.t1	Tetwil_1_127
Tetwil_g9890.t1	Tetwil_1_128
Tetwil_g9891.t1	Tetwil_1_129
Tetwil_g9892.t1	Tetwil_1_130
Tetwil_g9893.t2	Tetwil_1_131
Tetwil_g9894.t1	Tetwil_1_132
Tetwil_g9895.t2	Tetwil_1_133
Tetwil_g9896.t2	Tetwil_1_134
Tetwil_g9897.t1	Tetwil_1_135
Tetwil_g9898.t1	Tetwil_1_136
Tetwil_g9899.t1	Tetwil_1_137
Tetwil_g9900.t1	Tetwil_1_138
Tetwil_g9901.t2	Tetwil_1_139
Tetwil_g9902.t1	Tetwil_1_140
Tetwil_g9903.t1	Tetwil_1_141
Tetwil_g9904.t1	Tetwil_1_142
Tetwil_g9905.t2	Tetwil_1_143
Tetwil_g9906.t1	Tetwil_1_144
Tetwil_g9907.t2	Tetwil_1_145
Tetwil_g9908.t1	Tetwil_1_146
Tetwil_g9909.t1	Tetwil_1_147
Tetwil_g9910.t1	Tetwil_1_148
Tetwil_g9911.t1	Tetwil_1_149
Tetwil_g9912.t1	Tetwil_1_150
Tetwil_g9913.t1	Tetwil_1_151
Tetwil_g9914.t1	Tetwil_1_152
Tetwil_g9915.t2	Tetwil_1_153
Tetwil_g9916.t1	Tetwil_1_154
Tetwil_g9917.t2	Tetwil_1_155
Tetwil_g9918.t1	Tetwil_1_156
Tetwil_g9919.t2	Tetwil_1_157
Tetwil_g9920.t1	Tetwil_1_158
Tetwil_g9921.t1	Tetwil_1_159
Tetwil_g9922.t1	Tetwil_1_160
Tetwil_g9923.t2	Tetwil_1_161
Tetwil_g9924.t1	Tetwil_1_162
Tetwil_g9925.t1	Tetwil_1_163
Tetwil_g9926.t1	Tetwil_1_164
Tetwil_g9927.t1	Tetwil_1_165
Tetwil_g9928.t2	Tetwil_1_166
Tetwil_g9929.t1	Tetwil_1_167
Tetwil_g9930.t2	Tetwil_1_168
Tetwil_g9931.t1	Tetwil_1_169
Tetwil_g9932.t2	Tetwil_1_170
Tetwil_g9933.t2	Tetwil_1_171
Tetwil_g9934.t1	Tetwil_1_172
Tetwil_g9935.t2	Tetwil_1_173
Tetwil_g9936.t2	Tetwil_1_174
Tetwil_g9937.t1	Tetwil_1_175
Tetwil_g9938.t1	Tetwil_1_176
Tetwil_g25127.t1	Tetwil_2_1
Tetwil_g25128.t2	Tetwil_2_2
Tetwil_g25129.t2	Tetwil_2_3
Tetwil_g25130.t1	Tetwil_2_4
Tetwil_g25131.t1	Tetwil_2_5
Tetwil_g25132.t2	Tetwil_2_6
Tetwil_g25133.t2	Tetwil_2_7
Tetwil_g25134.t2	Tetwil_2_8
