Porpur_gnl_WGS_VRMN_mrna.FVE85_5097	Porpur_1_42
Porpur_gnl_WGS_VRMN_mrna.FVE85_5098	Porpur_1_43
Porpur_gnl_WGS_VRMN_mrna.FVE85_5099	Porpur_1_44
Porpur_gnl_WGS_VRMN_mrna.FVE85_5100	Porpur_1_45
Porpur_gnl_WGS_VRMN_mrna.FVE85_5101	Porpur_1_46
Porpur_gnl_WGS_VRMN_mrna.FVE85_5102	Porpur_1_47
Porpur_gnl_WGS_VRMN_mrna.FVE85_5103	Porpur_1_48
Porpur_gnl_WGS_VRMN_mrna.FVE85_5104	Porpur_1_49
Porpur_gnl_WGS_VRMN_mrna.FVE85_5105	Porpur_1_50
Porpur_gnl_WGS_VRMN_mrna.FVE85_5106	Porpur_1_51
Porpur_gnl_WGS_VRMN_mrna.FVE85_5107	Porpur_1_52
Porpur_gnl_WGS_VRMN_mrna.FVE85_5108	Porpur_1_53
Porpur_gnl_WGS_VRMN_mrna.FVE85_5109	Porpur_1_54
Porpur_gnl_WGS_VRMN_mrna.FVE85_5110	Porpur_1_55
Porpur_gnl_WGS_VRMN_mrna.FVE85_5111	Porpur_1_56
Porpur_gnl_WGS_VRMN_mrna.FVE85_5112	Porpur_1_57
Porpur_gnl_WGS_VRMN_mrna.FVE85_5113	Porpur_1_58
Porpur_gnl_WGS_VRMN_mrna.FVE85_5114	Porpur_1_59
Porpur_gnl_WGS_VRMN_mrna.FVE85_5115	Porpur_1_60
Porpur_gnl_WGS_VRMN_mrna.FVE85_5116	Porpur_1_61
Porpur_gnl_WGS_VRMN_mrna.FVE85_5117	Porpur_1_62
Porpur_gnl_WGS_VRMN_mrna.FVE85_5118	Porpur_1_63
Porpur_gnl_WGS_VRMN_mrna.FVE85_5119	Porpur_1_64
Porpur_gnl_WGS_VRMN_mrna.FVE85_5120	Porpur_1_65
Porpur_gnl_WGS_VRMN_mrna.FVE85_5121	Porpur_1_66
Porpur_gnl_WGS_VRMN_mrna.FVE85_5122	Porpur_1_67
Porpur_gnl_WGS_VRMN_mrna.FVE85_5123	Porpur_1_68
Porpur_gnl_WGS_VRMN_mrna.FVE85_5124	Porpur_1_69
Porpur_gnl_WGS_VRMN_mrna.FVE85_5125	Porpur_1_70
Porpur_gnl_WGS_VRMN_mrna.FVE85_5126	Porpur_1_71
Porpur_gnl_WGS_VRMN_mrna.FVE85_5127	Porpur_1_72
Porpur_gnl_WGS_VRMN_mrna.FVE85_5128	Porpur_1_73
Porpur_gnl_WGS_VRMN_mrna.FVE85_5129	Porpur_1_74
Porpur_gnl_WGS_VRMN_mrna.FVE85_5130	Porpur_1_75
Porpur_gnl_WGS_VRMN_mrna.FVE85_5131	Porpur_1_76
Porpur_gnl_WGS_VRMN_mrna.FVE85_5132	Porpur_1_77
Porpur_gnl_WGS_VRMN_mrna.FVE85_5133	Porpur_1_78
Porpur_gnl_WGS_VRMN_mrna.FVE85_5134	Porpur_1_79
Porpur_gnl_WGS_VRMN_mrna.FVE85_5135	Porpur_1_80
Porpur_gnl_WGS_VRMN_mrna.FVE85_5136	Porpur_1_81
Porpur_gnl_WGS_VRMN_mrna.FVE85_5137	Porpur_1_82
Porpur_gnl_WGS_VRMN_mrna.FVE85_5138	Porpur_1_83
Porpur_gnl_WGS_VRMN_mrna.FVE85_5139	Porpur_1_84
Porpur_gnl_WGS_VRMN_mrna.FVE85_5140	Porpur_1_85
Porpur_gnl_WGS_VRMN_mrna.FVE85_5141	Porpur_1_86
Porpur_gnl_WGS_VRMN_mrna.FVE85_5142	Porpur_1_87
Porpur_gnl_WGS_VRMN_mrna.FVE85_5143	Porpur_1_88
Porpur_gnl_WGS_VRMN_mrna.FVE85_5144	Porpur_1_89
Porpur_gnl_WGS_VRMN_mrna.FVE85_5145	Porpur_1_90
Porpur_gnl_WGS_VRMN_mrna.FVE85_5146	Porpur_1_91
Porpur_gnl_WGS_VRMN_mrna.FVE85_5147	Porpur_1_92
Porpur_gnl_WGS_VRMN_mrna.FVE85_5148	Porpur_1_93
Porpur_gnl_WGS_VRMN_mrna.FVE85_5149	Porpur_1_94
Porpur_gnl_WGS_VRMN_mrna.FVE85_5150	Porpur_1_95
Porpur_gnl_WGS_VRMN_mrna.FVE85_5151	Porpur_1_96
Porpur_gnl_WGS_VRMN_mrna.FVE85_5152	Porpur_1_97
Porpur_gnl_WGS_VRMN_mrna.FVE85_5153	Porpur_1_98
Porpur_gnl_WGS_VRMN_mrna.FVE85_5154	Porpur_1_99
Porpur_gnl_WGS_VRMN_mrna.FVE85_5155	Porpur_1_100
Porpur_gnl_WGS_VRMN_mrna.FVE85_5156	Porpur_1_101
Porpur_gnl_WGS_VRMN_mrna.FVE85_5157	Porpur_1_102
Porpur_gnl_WGS_VRMN_mrna.FVE85_5158	Porpur_1_103
Porpur_gnl_WGS_VRMN_mrna.FVE85_5159	Porpur_1_104
Porpur_gnl_WGS_VRMN_mrna.FVE85_5160	Porpur_1_105
Porpur_gnl_WGS_VRMN_mrna.FVE85_5161	Porpur_1_106
Porpur_gnl_WGS_VRMN_mrna.FVE85_5162	Porpur_1_107
Porpur_gnl_WGS_VRMN_mrna.FVE85_5163	Porpur_1_108
Porpur_gnl_WGS_VRMN_mrna.FVE85_5164	Porpur_1_109
Porpur_gnl_WGS_VRMN_mrna.FVE85_5165	Porpur_1_110
Porpur_gnl_WGS_VRMN_mrna.FVE85_5166	Porpur_1_111
Porpur_gnl_WGS_VRMN_mrna.FVE85_5167	Porpur_1_112
Porpur_gnl_WGS_VRMN_mrna.FVE85_5168	Porpur_1_113
Porpur_gnl_WGS_VRMN_mrna.FVE85_5169	Porpur_1_114
Porpur_gnl_WGS_VRMN_mrna.FVE85_5170	Porpur_1_115
Porpur_gnl_WGS_VRMN_mrna.FVE85_5171	Porpur_1_116
Porpur_gnl_WGS_VRMN_mrna.FVE85_5172	Porpur_1_117
Porpur_gnl_WGS_VRMN_mrna.FVE85_5173	Porpur_1_118
Porpur_gnl_WGS_VRMN_mrna.FVE85_5174	Porpur_1_119
Porpur_gnl_WGS_VRMN_mrna.FVE85_5175	Porpur_1_120
Porpur_gnl_WGS_VRMN_mrna.FVE85_5176	Porpur_1_121
Porpur_gnl_WGS_VRMN_mrna.FVE85_5177	Porpur_1_122
Porpur_gnl_WGS_VRMN_mrna.FVE85_5178	Porpur_1_123
Porpur_gnl_WGS_VRMN_mrna.FVE85_5179	Porpur_1_124
Porpur_gnl_WGS_VRMN_mrna.FVE85_5180	Porpur_1_125
Porpur_gnl_WGS_VRMN_mrna.FVE85_5181	Porpur_1_126
Porpur_gnl_WGS_VRMN_mrna.FVE85_5182	Porpur_1_127
Porpur_gnl_WGS_VRMN_mrna.FVE85_5183	Porpur_1_128
Porpur_gnl_WGS_VRMN_mrna.FVE85_5184	Porpur_1_129
Porpur_gnl_WGS_VRMN_mrna.FVE85_5185	Porpur_1_130
Porpur_gnl_WGS_VRMN_mrna.FVE85_5186	Porpur_1_131
Porpur_gnl_WGS_VRMN_mrna.FVE85_5187	Porpur_1_132
Porpur_gnl_WGS_VRMN_mrna.FVE85_5188	Porpur_1_133
Porpur_gnl_WGS_VRMN_mrna.FVE85_5189	Porpur_1_134
Porpur_gnl_WGS_VRMN_mrna.FVE85_5190	Porpur_1_135
Porpur_gnl_WGS_VRMN_mrna.FVE85_5191	Porpur_1_136
Porpur_gnl_WGS_VRMN_mrna.FVE85_5192	Porpur_1_137
Porpur_gnl_WGS_VRMN_mrna.FVE85_5193	Porpur_1_138
Porpur_gnl_WGS_VRMN_mrna.FVE85_5194	Porpur_1_139
Porpur_gnl_WGS_VRMN_mrna.FVE85_5195	Porpur_1_140
Porpur_gnl_WGS_VRMN_mrna.FVE85_5196	Porpur_1_141
Porpur_gnl_WGS_VRMN_mrna.FVE85_5197	Porpur_1_142
Porpur_gnl_WGS_VRMN_mrna.FVE85_5198	Porpur_1_143
Porpur_gnl_WGS_VRMN_mrna.FVE85_5199	Porpur_1_144
Porpur_gnl_WGS_VRMN_mrna.FVE85_5200	Porpur_1_145
Porpur_gnl_WGS_VRMN_mrna.FVE85_5201	Porpur_1_146
Porpur_gnl_WGS_VRMN_mrna.FVE85_5202	Porpur_1_147
Porpur_gnl_WGS_VRMN_mrna.FVE85_5203	Porpur_1_148
Porpur_gnl_WGS_VRMN_mrna.FVE85_5204	Porpur_1_149
Porpur_gnl_WGS_VRMN_mrna.FVE85_5205	Porpur_1_150
Porpur_gnl_WGS_VRMN_mrna.FVE85_5206	Porpur_1_151
Porpur_gnl_WGS_VRMN_mrna.FVE85_5207	Porpur_1_152
Porpur_gnl_WGS_VRMN_mrna.FVE85_5208	Porpur_1_153
Porpur_gnl_WGS_VRMN_mrna.FVE85_5209	Porpur_1_154
Porpur_gnl_WGS_VRMN_mrna.FVE85_5210	Porpur_1_155
Porpur_gnl_WGS_VRMN_mrna.FVE85_5211	Porpur_1_156
Porpur_gnl_WGS_VRMN_mrna.FVE85_5212	Porpur_1_157
Porpur_gnl_WGS_VRMN_mrna.FVE85_5213	Porpur_1_158
Porpur_gnl_WGS_VRMN_mrna.FVE85_5214	Porpur_1_159
Porpur_gnl_WGS_VRMN_mrna.FVE85_5215	Porpur_1_160
Porpur_gnl_WGS_VRMN_mrna.FVE85_5216	Porpur_1_161
Porpur_gnl_WGS_VRMN_mrna.FVE85_5217	Porpur_1_162
Porpur_gnl_WGS_VRMN_mrna.FVE85_5218	Porpur_1_163
Porpur_gnl_WGS_VRMN_mrna.FVE85_5219	Porpur_1_164
Porpur_gnl_WGS_VRMN_mrna.FVE85_5220	Porpur_1_165
Porpur_gnl_WGS_VRMN_mrna.FVE85_5221	Porpur_1_166
Porpur_gnl_WGS_VRMN_mrna.FVE85_5222	Porpur_1_167
Porpur_gnl_WGS_VRMN_mrna.FVE85_5223	Porpur_1_168
Porpur_gnl_WGS_VRMN_mrna.FVE85_5224	Porpur_1_169
Porpur_gnl_WGS_VRMN_mrna.FVE85_5225	Porpur_1_170
Porpur_gnl_WGS_VRMN_mrna.FVE85_5226	Porpur_1_171
Porpur_gnl_WGS_VRMN_mrna.FVE85_5227	Porpur_1_172
Porpur_gnl_WGS_VRMN_mrna.FVE85_5228	Porpur_1_173
Porpur_gnl_WGS_VRMN_mrna.FVE85_5229	Porpur_1_174
Porpur_gnl_WGS_VRMN_mrna.FVE85_5230	Porpur_1_175
Porpur_gnl_WGS_VRMN_mrna.FVE85_5231	Porpur_1_176
Porpur_gnl_WGS_VRMN_mrna.FVE85_5232	Porpur_1_177
Porpur_gnl_WGS_VRMN_mrna.FVE85_5233	Porpur_1_178
Porpur_gnl_WGS_VRMN_mrna.FVE85_5234	Porpur_1_179
Porpur_gnl_WGS_VRMN_mrna.FVE85_5235	Porpur_1_180
Porpur_gnl_WGS_VRMN_mrna.FVE85_5236	Porpur_1_181
Porpur_gnl_WGS_VRMN_mrna.FVE85_5237	Porpur_1_182
