Scer_YAR050W_mRNA	Scer_1_107
Scer_YAR053W_mRNA	Scer_1_108
Scer_YAR060C_mRNA	Scer_1_109
Scer_YAR064W_mRNA	Scer_1_110
Scer_YAR066W_mRNA	Scer_1_111
Scer_YAR068W_mRNA	Scer_1_112
Scer_YAR069C_mRNA	Scer_1_113
Scer_YAR070C_mRNA	Scer_1_114
Scer_YAR071W_mRNA	Scer_1_115
Scer_YAR073W_mRNA	Scer_1_116
Scer_YAR075W_mRNA	Scer_1_117
Scer_YBL113C_mRNA	Scer_2_1
Scer_YBL113W-A_mRNA	Scer_2_2
Scer_YBL112C_mRNA	Scer_2_3
Scer_YBL111C_mRNA	Scer_2_4
Scer_YBL109W_mRNA	Scer_2_5
Scer_YBL108C-A_mRNA	Scer_2_6
Scer_YBL108W_mRNA	Scer_2_7
Scer_YBL107W-A_mRNA	Scer_2_8
Scer_YBL107C_mRNA	Scer_2_9
Scer_YBL106C_mRNA	Scer_2_10
Scer_YBL105C_mRNA	Scer_2_11
Scer_YBL104C_mRNA	Scer_2_12
Scer_YBL103C_mRNA	Scer_2_13
Scer_YBL102W_mRNA	Scer_2_14
Scer_YBL101C_mRNA	Scer_2_15
Scer_YBL100W-C_mRNA	Scer_2_16
Scer_YBL100C_mRNA	Scer_2_17
Scer_YBL099W_mRNA	Scer_2_18
Scer_YBL098W_mRNA	Scer_2_19
Scer_YBL097W_mRNA	Scer_2_20
Scer_YBL096C_mRNA	Scer_2_21
Scer_YBL095W_mRNA	Scer_2_22
Scer_YBL094C_mRNA	Scer_2_23
Scer_YBL093C_mRNA	Scer_2_24
Scer_YBL092W_mRNA	Scer_2_25
Scer_YBL091C-A_mRNA	Scer_2_26
Scer_YBL091C_mRNA	Scer_2_27
Scer_YBL090W_mRNA	Scer_2_28
Scer_YBL089W_mRNA	Scer_2_29
Scer_YBL088C_mRNA	Scer_2_30
Scer_YBL087C_mRNA	Scer_2_31
Scer_YBL086C_mRNA	Scer_2_32
