Ncra_EAA35269	Ncra_1_259
Ncra_EAA35268	Ncra_1_260
Ncra_EDO65476	Ncra_1_261
Ncra_EAA35066	Ncra_1_262
Ncra_EAA35065	Ncra_1_263
Ncra_EAA35064	Ncra_1_264
Ncra_EAA35061	Ncra_1_265
Ncra_EAA35060	Ncra_1_266
Ncra_EAA35059	Ncra_1_267
Ncra_EAA35058	Ncra_1_268
Ncra_EAA35056	Ncra_1_269
Ncra_EAA35055	Ncra_1_270
Ncra_EAA35054	Ncra_1_271
Ncra_ESA43805	Ncra_1_272
Ncra_EAA35052	Ncra_1_273
Ncra_EAA35051	Ncra_1_274
Ncra_ESA43807	Ncra_1_275
Ncra_EAA35049	Ncra_1_276
Ncra_EAA35048	Ncra_1_277
Ncra_EAA35047	Ncra_1_278
Ncra_ESA43809	Ncra_1_279
Ncra_EAA35045	Ncra_1_280
Ncra_EAA35044	Ncra_1_281
Ncra_ESA43811	Ncra_1_282
Ncra_EDO65475	Ncra_1_283
Ncra_EAA34621	Ncra_1_284
Ncra_EAA34620	Ncra_1_285
Ncra_EAA34619	Ncra_1_286
Ncra_EAA34618	Ncra_1_287
Ncra_EAA34617	Ncra_1_288
Ncra_EAA34616	Ncra_1_289
Ncra_EAA34872	Ncra_1_290
Ncra_ESA43813	Ncra_1_291
Ncra_EAA34871	Ncra_1_292
Ncra_EAA34870	Ncra_1_293
Ncra_EAA34869	Ncra_1_294
Ncra_EAA34868	Ncra_1_295
Ncra_EAA34867	Ncra_1_296
Ncra_EAA34866	Ncra_1_297
Ncra_EAA34865	Ncra_1_298
Ncra_EAA34864	Ncra_1_299
Ncra_ESA43814	Ncra_1_300
Ncra_EAA34862	Ncra_1_301
Ncra_EAA34861	Ncra_1_302
Ncra_EDO65473	Ncra_1_303
Ncra_EDO65472	Ncra_1_304
Ncra_ESA43816	Ncra_1_305
Ncra_EAA34859	Ncra_1_306
Ncra_EAA34858	Ncra_1_307
Ncra_EDO65471	Ncra_1_308
Ncra_EAA34755	Ncra_1_309
Ncra_EAA34754	Ncra_1_310
Ncra_EAA34753	Ncra_1_311
