Morvir_scaffold1.g119.t1	Morvir_1_119
Morvir_scaffold1.g120.t1	Morvir_1_120
Morvir_scaffold1.g121.t1	Morvir_1_121
Morvir_scaffold1.g122.t2	Morvir_1_122
Morvir_scaffold1.g123.t1	Morvir_1_123
Morvir_scaffold1.g124.t1	Morvir_1_124
Morvir_scaffold1.g125.t2	Morvir_1_125
Morvir_scaffold1.g126.t1	Morvir_1_126
Morvir_scaffold1.g127.t1	Morvir_1_127
Morvir_scaffold1.g128.t1	Morvir_1_128
Morvir_scaffold1.g129.t1	Morvir_1_129
Morvir_scaffold1.g130.t1	Morvir_1_130
Morvir_scaffold1.g131.t1	Morvir_1_131
Morvir_scaffold1.g132.t1	Morvir_1_132
Morvir_scaffold1.g133.t1	Morvir_1_133
Morvir_scaffold1.g134.t1	Morvir_1_134
Morvir_scaffold1.g135.t1	Morvir_1_135
Morvir_scaffold1.g136.t1	Morvir_1_136
Morvir_scaffold1.g137.t1	Morvir_1_137
Morvir_scaffold1.g138.t2	Morvir_1_138
Morvir_scaffold1.g139.t1	Morvir_1_139
Morvir_scaffold1.g140.t1	Morvir_1_140
Morvir_scaffold1.g141.t1	Morvir_1_141
Morvir_scaffold1.g142.t1	Morvir_1_142
Morvir_scaffold1.g143.t1	Morvir_1_143
Morvir_scaffold1.g144.t3	Morvir_1_144
Morvir_scaffold1.g145.t1	Morvir_1_145
Morvir_scaffold1.g146.t1	Morvir_1_146
Morvir_scaffold1.g147.t1	Morvir_1_147
Morvir_scaffold1.g148.t1	Morvir_1_148
Morvir_scaffold1.g149.t1	Morvir_1_149
Morvir_scaffold1.g150.t1	Morvir_1_150
Morvir_scaffold1.g151.t1	Morvir_1_151
Morvir_scaffold1.g152.t1	Morvir_1_152
Morvir_scaffold1.g153.t1	Morvir_1_153
Morvir_scaffold1.g154.t1	Morvir_1_154
Morvir_scaffold1.g155.t3	Morvir_1_155
Morvir_scaffold1.g156.t1	Morvir_1_156
Morvir_scaffold1.g157.t1	Morvir_1_157
Morvir_scaffold1.g158.t1	Morvir_1_158
Morvir_scaffold1.g159.t1	Morvir_1_159
Morvir_scaffold1.g160.t1	Morvir_1_160
Morvir_scaffold1.g161.t1	Morvir_1_161
Morvir_scaffold1.g162.t1	Morvir_1_162
Morvir_scaffold1.g163.t3	Morvir_1_163
Morvir_scaffold1.g164.t1	Morvir_1_164
Morvir_scaffold1.g165.t1	Morvir_1_165
Morvir_scaffold1.g166.t1	Morvir_1_166
Morvir_scaffold1.g167.t1	Morvir_1_167
Morvir_scaffold1.g168.t1	Morvir_1_168
Morvir_scaffold1.g169.t1	Morvir_1_169
Morvir_scaffold1.g170.t1	Morvir_1_170
Morvir_scaffold1.g171.t3	Morvir_1_171
Morvir_scaffold1.g172.t1	Morvir_1_172
Morvir_scaffold1.g173.t1	Morvir_1_173
Morvir_scaffold1.g174.t1	Morvir_1_174
Morvir_scaffold1.g175.t1	Morvir_1_175
Morvir_scaffold1.g176.t1	Morvir_1_176
Morvir_scaffold1.g177.t1	Morvir_1_177
Morvir_scaffold1.g178.t1	Morvir_1_178
Morvir_scaffold1.g179.t2	Morvir_1_179
Morvir_scaffold1.g180.t1	Morvir_1_180
Morvir_scaffold1.g181.t1	Morvir_1_181
Morvir_scaffold1.g182.t1	Morvir_1_182
Morvir_scaffold1.g183.t2	Morvir_1_183
Morvir_scaffold1.g184.t1	Morvir_1_184
Morvir_scaffold1.g185.t1	Morvir_1_185
Morvir_scaffold1.g186.t1	Morvir_1_186
Morvir_scaffold1.g187.t1	Morvir_1_187
Morvir_scaffold1.g188.t1	Morvir_1_188
Morvir_scaffold1.g189.t1	Morvir_1_189
Morvir_scaffold1.g190.t1	Morvir_1_190
Morvir_scaffold1.g191.t1	Morvir_1_191
Morvir_scaffold1.g192.t1	Morvir_1_192
Morvir_scaffold1.g193.t1	Morvir_1_193
Morvir_scaffold1.g194.t1	Morvir_1_194
Morvir_scaffold1.g195.t1	Morvir_1_195
Morvir_scaffold1.g196.t1	Morvir_1_196
Morvir_scaffold1.g197.t1	Morvir_1_197
Morvir_scaffold1.g198.t1	Morvir_1_198
Morvir_scaffold1.g199.t1	Morvir_1_199
Morvir_scaffold1.g200.t1	Morvir_1_200
Morvir_scaffold1.g201.t1	Morvir_1_201
Morvir_scaffold1.g202.t1	Morvir_1_202
Morvir_scaffold1.g203.t1	Morvir_1_203
Morvir_scaffold1.g204.t1	Morvir_1_204
Morvir_scaffold1.g205.t1	Morvir_1_205
Morvir_scaffold1.g206.t1	Morvir_1_206
Morvir_scaffold1.g207.t1	Morvir_1_207
Morvir_scaffold1.g208.t1	Morvir_1_208
Morvir_scaffold1.g209.t1	Morvir_1_209
Morvir_scaffold1.g210.t1	Morvir_1_210
Morvir_scaffold1.g211.t1	Morvir_1_211
Morvir_scaffold1.g212.t1	Morvir_1_212
Morvir_scaffold1.g213.t1	Morvir_1_213
Morvir_scaffold1.g214.t1	Morvir_1_214
Morvir_scaffold1.g215.t1	Morvir_1_215
Morvir_scaffold1.g216.t1	Morvir_1_216
Morvir_scaffold1.g217.t1	Morvir_1_217
Morvir_scaffold1.g218.t1	Morvir_1_218
Morvir_scaffold1.g219.t1	Morvir_1_219
Morvir_scaffold1.g220.t1	Morvir_1_220
Morvir_scaffold1.g221.t1	Morvir_1_221
Morvir_scaffold1.g222.t1	Morvir_1_222
Morvir_scaffold1.g223.t1	Morvir_1_223
Morvir_scaffold1.g224.t1	Morvir_1_224
Morvir_scaffold1.g225.t1	Morvir_1_225
Morvir_scaffold1.g226.t1	Morvir_1_226
Morvir_scaffold1.g227.t1	Morvir_1_227
Morvir_scaffold1.g228.t1	Morvir_1_228
Morvir_scaffold1.g229.t1	Morvir_1_229
Morvir_scaffold1.g230.t1	Morvir_1_230
Morvir_scaffold1.g231.t1	Morvir_1_231
Morvir_scaffold1.g232.t2	Morvir_1_232
Morvir_scaffold1.g233.t1	Morvir_1_233
Morvir_scaffold1.g234.t1	Morvir_1_234
Morvir_scaffold1.g235.t2	Morvir_1_235
Morvir_scaffold1.g236.t1	Morvir_1_236
Morvir_scaffold1.g237.t1	Morvir_1_237
Morvir_scaffold1.g238.t1	Morvir_1_238
Morvir_scaffold1.g239.t1	Morvir_1_239
Morvir_scaffold1.g240.t2	Morvir_1_240
Morvir_scaffold1.g241.t1	Morvir_1_241
Morvir_scaffold1.g242.t1	Morvir_1_242
Morvir_scaffold1.g243.t1	Morvir_1_243
Morvir_scaffold1.g244.t1	Morvir_1_244
Morvir_scaffold1.g245.t1	Morvir_1_245
Morvir_scaffold1.g246.t1	Morvir_1_246
Morvir_scaffold1.g247.t1	Morvir_1_247
Morvir_scaffold1.g248.t1	Morvir_1_248
Morvir_scaffold1.g249.t1	Morvir_1_249
Morvir_scaffold1.g250.t1	Morvir_1_250
Morvir_scaffold1.g251.t1	Morvir_1_251
Morvir_scaffold1.g252.t1	Morvir_1_252
Morvir_scaffold1.g253.t1	Morvir_1_253
Morvir_scaffold1.g254.t1	Morvir_1_254
Morvir_scaffold1.g255.t1	Morvir_1_255
Morvir_scaffold1.g256.t1	Morvir_1_256
Morvir_scaffold1.g257.t1	Morvir_1_257
Morvir_scaffold1.g258.t1	Morvir_1_258
Morvir_scaffold1.g259.t1	Morvir_1_259
Morvir_scaffold1.g260.t2	Morvir_1_260
Morvir_scaffold1.g261.t1	Morvir_1_261
Morvir_scaffold1.g262.t1	Morvir_1_262
Morvir_scaffold1.g263.t1	Morvir_1_263
Morvir_scaffold1.g264.t1	Morvir_1_264
Morvir_scaffold1.g265.t1	Morvir_1_265
Morvir_scaffold1.g266.t1	Morvir_1_266
Morvir_scaffold1.g267.t1	Morvir_1_267
Morvir_scaffold1.g268.t1	Morvir_1_268
Morvir_scaffold1.g269.t2	Morvir_1_269
Morvir_scaffold1.g270.t1	Morvir_1_270
Morvir_scaffold1.g271.t1	Morvir_1_271
Morvir_scaffold1.g272.t1	Morvir_1_272
Morvir_scaffold1.g273.t1	Morvir_1_273
Morvir_scaffold1.g274.t1	Morvir_1_274
Morvir_scaffold1.g275.t1	Morvir_1_275
Morvir_scaffold1.g276.t1	Morvir_1_276
Morvir_scaffold1.g277.t1	Morvir_1_277
Morvir_scaffold1.g278.t1	Morvir_1_278
Morvir_scaffold1.g279.t1	Morvir_1_279
Morvir_scaffold1.g280.t1	Morvir_1_280
Morvir_scaffold1.g281.t1	Morvir_1_281
Morvir_scaffold1.g282.t1	Morvir_1_282
Morvir_scaffold1.g283.t1	Morvir_1_283
Morvir_scaffold1.g284.t1	Morvir_1_284
Morvir_scaffold1.g285.t1	Morvir_1_285
Morvir_scaffold1.g286.t1	Morvir_1_286
Morvir_scaffold1.g287.t1	Morvir_1_287
Morvir_scaffold1.g288.t1	Morvir_1_288
Morvir_scaffold1.g289.t2	Morvir_1_289
Morvir_scaffold1.g290.t1	Morvir_1_290
Morvir_scaffold1.g291.t1	Morvir_1_291
Morvir_scaffold1.g292.t1	Morvir_1_292
Morvir_scaffold1.g293.t1	Morvir_1_293
Morvir_scaffold1.g294.t1	Morvir_1_294
Morvir_scaffold1.g295.t1	Morvir_1_295
Morvir_scaffold1.g296.t1	Morvir_1_296
Morvir_scaffold1.g297.t1	Morvir_1_297
Morvir_scaffold1.g298.t1	Morvir_1_298
Morvir_scaffold1.g299.t1	Morvir_1_299
Morvir_scaffold1.g300.t1	Morvir_1_300
Morvir_scaffold1.g301.t1	Morvir_1_301
Morvir_scaffold1.g302.t1	Morvir_1_302
Morvir_scaffold1.g303.t1	Morvir_1_303
Morvir_scaffold1.g304.t1	Morvir_1_304
Morvir_scaffold1.g305.t1	Morvir_1_305
Morvir_scaffold1.g306.t1	Morvir_1_306
Morvir_scaffold1.g307.t1	Morvir_1_307
Morvir_scaffold1.g308.t1	Morvir_1_308
Morvir_scaffold1.g309.t1	Morvir_1_309
Morvir_scaffold1.g310.t1	Morvir_1_310
Morvir_scaffold1.g311.t1	Morvir_1_311
Morvir_scaffold1.g312.t2	Morvir_1_312
Morvir_scaffold1.g313.t1	Morvir_1_313
Morvir_scaffold1.g314.t1	Morvir_1_314
Morvir_scaffold1.g315.t1	Morvir_1_315
Morvir_scaffold1.g316.t1	Morvir_1_316
Morvir_scaffold1.g317.t1	Morvir_1_317
Morvir_scaffold1.g318.t1	Morvir_1_318
Morvir_scaffold1.g319.t1	Morvir_1_319
Morvir_scaffold1.g320.t1	Morvir_1_320
Morvir_scaffold1.g321.t1	Morvir_1_321
Morvir_scaffold1.g322.t1	Morvir_1_322
Morvir_scaffold1.g323.t1	Morvir_1_323
Morvir_scaffold1.g324.t1	Morvir_1_324
Morvir_scaffold1.g325.t1	Morvir_1_325
Morvir_scaffold1.g326.t1	Morvir_1_326
Morvir_scaffold1.g327.t1	Morvir_1_327
Morvir_scaffold1.g328.t1	Morvir_1_328
Morvir_scaffold1.g329.t1	Morvir_1_329
Morvir_scaffold1.g330.t1	Morvir_1_330
Morvir_scaffold1.g331.t1	Morvir_1_331
Morvir_scaffold1.g332.t1	Morvir_1_332
Morvir_scaffold1.g333.t1	Morvir_1_333
Morvir_scaffold1.g334.t1	Morvir_1_334
Morvir_scaffold1.g335.t1	Morvir_1_335
Morvir_scaffold1.g336.t1	Morvir_1_336
Morvir_scaffold1.g337.t2	Morvir_1_337
Morvir_scaffold1.g338.t1	Morvir_1_338
Morvir_scaffold1.g339.t1	Morvir_1_339
Morvir_scaffold1.g340.t1	Morvir_1_340
Morvir_scaffold1.g341.t1	Morvir_1_341
Morvir_scaffold1.g342.t1	Morvir_1_342
Morvir_scaffold1.g343.t1	Morvir_1_343
Morvir_scaffold1.g344.t1	Morvir_1_344
Morvir_scaffold1.g345.t1	Morvir_1_345
