Atha_AT4G13020.7	MHK
Atha_AT4G13020.8	MHK
Atha_AT4G13020.1	MHK
Atha_AT4G13020.2	MHK
Atha_AT4G13020.4	MHK
Atha_AT4G13020.6	MHK
Atha_AT4G13020.5	MHK
Atha_AT4G13020.3	MHK
Atha_AT4G28710.1	XI-H
Atha_AT3G43240.1	ARID4
Atha_AT2G24820.1	TIC55
Atha_AT4G33620.1	ULP2A
Atha_AT5G49310.1	IMPA5
Atha_AT1G29810.1	PDL2
Atha_AT1G29810.2	PDL2
Atha_AT1G17470.2	DRG1
Atha_AT1G17470.1	DRG1
Atha_AT2G20120.1	COV1
Atha_AT2G20120.2	COV1
Atha_AT5G47670.3	NFYB6
Atha_AT5G47670.1	NFYB6
Atha_AT5G47670.2	NFYB6
Atha_AT2G30690.2	MYOB4
Atha_AT2G30690.1	MYOB4
Atha_AT2G43850.1	ILK1
Atha_AT2G43850.3	ILK1
Atha_AT2G43850.2	ILK1
Atha_AT4G18130.1	PHYE
Atha_AT1G23870.1	TPS9
Atha_AT3G49560.1	HP30-1
Atha_AT5G09650.1	PPA6
Atha_AT2G43000.1	JUB1
Atha_AT2G43000.2	JUB1
Atha_AT1G52040.1	MBP1
Atha_AT5G60860.1	RABA1F
Atha_AT3G23790.1	AAE16
Atha_AT4G02075.2	PIT1
Atha_AT4G02075.3	PIT1
Atha_AT4G02075.1	PIT1
Atha_AT4G22590.1	TPPG
Atha_AT4G35060.1	HIPP25
Atha_AT5G47930.1	RPS27D
Atha_AT2G37970.1	SOUL-1
Atha_AT1G58190.2	AtRLP9
Atha_AT1G58190.4	AtRLP9
Atha_AT1G58190.3	AtRLP9
Atha_AT1G58190.1	AtRLP9
Atha_AT1G09860.1	PUP16
Atha_AT1G13280.1	AOC4
Atha_AT5G15300.1	PCMP-E40
Atha_AT4G34131.1	UGT73B3
Atha_AT2G02130.1	PDF2.3
Atha_AT3G18830.1	PLT5
Atha_AT4G21670.1	CPL1
Atha_AT1G02230.1	NAC004
Atha_AT1G07390.1	AtRLP1
Atha_AT1G07390.4	AtRLP1
Atha_AT1G07390.3	AtRLP1
Atha_AT1G07390.5	AtRLP1
Atha_AT1G07390.2	AtRLP1
Atha_AT1G59750.2	ARF1
Atha_AT1G59750.3	ARF1
Atha_AT1G59750.1	ARF1
Atha_AT1G59750.4	ARF1
Atha_AT2G21660.1	RBG7
Atha_AT2G21660.2	RBG7
Atha_AT1G79310.1	AMC7
Atha_AT5G42980.1	TRX3
Atha_AT1G70750.1	MYOB2
Atha_AT5G35840.1	PHYC
Atha_AT2G45210.1	SAUR36
Atha_AT1G29390.1	COR413IM2
Atha_AT1G29390.2	COR413IM2
Atha_AT5G50210.1	QS
Atha_AT1G17870.1	EGY3
Atha_AT1G15020.1	QSOX1
Atha_AT1G15020.2	QSOX1
Atha_AT1G15020.3	QSOX1
Atha_AT1G23090.4	SULTR3;3
Atha_AT1G23090.1	SULTR3;3
Atha_AT1G23090.3	SULTR3;3
Atha_AT1G23090.2	SULTR3;3
Atha_AT4G38190.1	CSLD4
Atha_AT1G72810.1	TS2
Atha_AT2G03210.2	FUT2
Atha_AT2G03210.3	FUT2
Atha_AT2G03210.1	FUT2
Atha_AT3G45990.1	ADF11
Atha_AT5G64170.1	LNK1
Atha_AT5G64170.2	LNK1
Atha_AT5G64170.3	LNK1
Atha_AT5G52240.2	MSBP1
Atha_AT5G52240.1	MSBP1
Atha_AT2G23250.1	UGT84B2
Atha_AT3G62270.1	BOR2
Atha_AT2G04400.1	IGPS
Atha_AT1G76420.1	NAC031
Atha_AT5G06950.3	TGA2
Atha_AT5G06950.5	TGA2
Atha_AT5G06950.1	TGA2
Atha_AT5G06950.4	TGA2
Atha_AT5G06950.2	TGA2
Atha_AT4G35350.2	XCP1
Atha_AT4G35350.1	XCP1
Atha_AT4G04930.1	DES-1-LIKE
Atha_AT2G37900.2	NPF5.6
Atha_AT2G37900.1	NPF5.6
Atha_AT1G19350.3	BES1
Atha_AT1G19350.4	BES1
Atha_AT1G19350.6	BES1
Atha_AT1G19350.1	BES1
Atha_AT1G19350.5	BES1
Atha_AT2G33060.1	AtRLP27
Atha_AT4G15700.1	GRXS3
Atha_AT3G56900.1	AAAS
Atha_ATMG00500.1	ORF141
Atha_AT2G40190.1	ALG11
Atha_AT1G59830.1	PP2A1
Atha_AT1G59830.2	PP2A1
Atha_AT5G64310.1	AGP1
Atha_AT5G24280.3	GMI1
Atha_AT5G24280.1	GMI1
Atha_AT5G24280.2	GMI1
Atha_AT3G06360.1	AGP27
Atha_AT2G32835.1	RALFL16
Atha_AT5G50345.1	ESFL11
Atha_AT3G18270.1	CYP77A5P
Atha_AT1G13080.2	CYP71B2
Atha_AT1G13080.1	CYP71B2
Atha_AT5G04770.1	CAT6
Atha_AT5G04770.2	CAT6
Atha_AT5G04770.3	CAT6
Atha_AT5G45400.1	RPA1C
Atha_AT4G24670.1	TAR2
Atha_AT4G24670.2	TAR2
Atha_AT1G30520.1	AAE14
Atha_AT1G30520.4	AAE14
Atha_AT1G30520.2	AAE14
Atha_AT1G30520.3	AAE14
Atha_AT5G22030.1	UBP8
Atha_AT5G22030.2	UBP8
Atha_AT4G27780.1	ACBP2
Atha_AT4G27780.2	ACBP2
Atha_AT5G16270.1	SYN4
Atha_AT4G16280.3	FCA
Atha_AT4G16280.1	FCA
Atha_AT4G16280.2	FCA
Atha_AT4G16280.4	FCA
Atha_AT5G45550.1	MOB1A
Atha_AT5G57280.1	RID2
Atha_AT1G12580.1	PEPKR1
Atha_AT5G44785.1	OSB3
Atha_AT5G44785.2	OSB3
Atha_AT5G03520.2	RABE1D
Atha_AT5G03520.1	RABE1D
Atha_AT4G36430.1	PER49
Atha_AT3G11240.5	ATE2
Atha_AT3G11240.1	ATE2
Atha_AT3G11240.2	ATE2
Atha_AT3G11240.3	ATE2
Atha_AT3G11240.4	ATE2
Atha_AT4G16690.1	PPD
Atha_AT2G03770.1	SOT13
Atha_AT2G44160.1	MTHFR2
Atha_AT5G33290.1	XGD1
Atha_AT1G73010.1	PS2
Atha_AT1G77920.1	TGA7
Atha_AT3G03630.1	CS26
Atha_AT5G23570.2	SGS3
Atha_AT5G23570.4	SGS3
Atha_AT5G23570.3	SGS3
Atha_AT5G23570.1	SGS3
Atha_AT4G05520.1	EHD2
Atha_AT4G05520.2	EHD2
Atha_AT5G15920.1	SMC5
Atha_AT2G38040.2	CAC3
Atha_AT2G38040.1	CAC3
Atha_AT4G29820.1	CFIS1
Atha_AT4G24400.2	CIPK8
Atha_AT4G24400.1	CIPK8
Atha_AT5G20440.1	MOB2A
Atha_AT4G32980.2	ATH1
Atha_AT4G32980.1	ATH1
Atha_AT1G31140.2	AGL63
Atha_AT1G31140.1	AGL63
Atha_ATMG00910.1	ORF215A
Atha_AT5G06530.1	ABCG22
Atha_AT5G06530.3	ABCG22
Atha_AT5G06530.4	ABCG22
Atha_AT5G06530.2	ABCG22
Atha_AT3G59520.1	RBL13
Atha_AT5G40880.2	ZFWD3
Atha_AT5G40880.1	ZFWD3
Atha_AT3G49390.1	CID10
Atha_AT3G49390.3	CID10
Atha_AT3G49390.2	CID10
Atha_AT5G19820.1	emb2734
Atha_AT3G27750.1	THA8
Atha_AT5G64667.1	IDL2
Atha_AT1G58180.1	BCA6
Atha_AT1G58180.4	BCA6
Atha_AT1G58180.6	BCA6
Atha_AT1G58180.3	BCA6
Atha_AT1G58180.2	BCA6
Atha_AT1G58180.7	BCA6
Atha_AT1G58180.5	BCA6
Atha_AT4G21050.1	DOF4.4
Atha_AT3G13550.1	COP10
Atha_AT3G13550.2	COP10
Atha_AT1G01380.2	ETC1
Atha_AT1G01380.3	ETC1
Atha_AT1G01380.1	ETC1
Atha_AT2G31200.1	ADF6
Atha_AT3G56140.3	RER6
Atha_AT3G56140.2	RER6
Atha_AT3G56140.1	RER6
Atha_AT1G72010.1	TCP22
Atha_AT3G21550.1	DMP2
Atha_AT2G29460.1	GSTU4
Atha_AT3G18165.1	MOS4
Atha_AT5G36170.3	PRFB1
Atha_AT5G36170.1	PRFB1
Atha_AT5G36170.2	PRFB1
Atha_AT5G36170.4	PRFB1
Atha_AT5G06600.1	UBP12
Atha_AT5G06600.2	UBP12
Atha_AT5G06600.3	UBP12
Atha_AT3G51210.1	SOT2
Atha_AT4G29300.1	LCR27
Atha_AT3G24830.1	RPL13AB
Atha_AT1G12370.1	PHR1
Atha_AT1G12370.3	PHR1
Atha_AT1G12370.2	PHR1
Atha_AT5G17600.1	ATL52
Atha_AT4G35650.1	IDH3
Atha_AT2G32400.1	GLR3.7
Atha_AT5G45800.2	MEE62
Atha_AT5G45800.1	MEE62
Atha_AT3G04590.1	AHL14
Atha_AT3G04590.2	AHL14
Atha_AT5G59560.2	SRR1
Atha_AT5G59560.1	SRR1
Atha_AT2G35795.1	TIM14-1
Atha_AT3G06380.2	TULP9
Atha_AT3G06380.1	TULP9
Atha_AT1G15580.1	IAA5
Atha_AT1G08280.1	GALT29A
Atha_AT1G59560.4	SPL1
Atha_AT1G59560.1	SPL1
Atha_AT1G59560.2	SPL1
Atha_AT1G59560.3	SPL1
Atha_AT5G16720.1	MYOB3
Atha_AT3G12930.1	IJ
Atha_AT2G32080.1	PURA1
Atha_AT2G32080.2	PURA1
Atha_AT2G19600.1	KEA4
Atha_AT1G74890.1	ARR15
Atha_AT2G36950.1	HIPP05
Atha_AT1G80000.3	MLN51
Atha_AT1G80000.4	MLN51
Atha_AT1G80000.2	MLN51
Atha_AT1G80000.1	MLN51
Atha_AT3G28860.1	ABCB19
Atha_AT2G24000.1	SCPL22
Atha_AT2G24000.2	SCPL22
Atha_AT2G25410.1	ATL22
Atha_AT1G62262.1	SLAH4
Atha_AT1G06820.3	CRTISO
Atha_AT1G06820.1	CRTISO
Atha_AT1G06820.2	CRTISO
Atha_AT1G06820.4	CRTISO
Atha_AT1G56590.1	AP3M
Atha_ATMG00050.1	ORF131
Atha_ATCG00380.1	RPS4
Atha_AT1G58100.1	TCP8
Atha_AT1G58100.2	TCP8
Atha_AT5G55190.1	RAN3
Atha_AT4G37980.1	CAD7
Atha_AT4G37980.2	CAD7
Atha_AT1G27440.1	IRX10
Atha_AT1G05490.1	CLSY3
Atha_AT5G18340.1	PUB48
Atha_AT5G02250.1	RNR1
Atha_AT5G60790.1	ABCF1
Atha_AT2G42810.4	PAPP5
Atha_AT2G42810.5	PAPP5
Atha_AT2G42810.1	PAPP5
Atha_AT2G42810.3	PAPP5
Atha_AT2G42810.2	PAPP5
Atha_AT2G32320.2	THG2
Atha_AT2G32320.3	THG2
Atha_AT2G32320.1	THG2
Atha_AT1G72710.1	CKL2
Atha_AT5G06140.1	SNX1
Atha_AT4G03320.1	TIC20-IV
Atha_AT1G04190.1	TPR3
Atha_AT5G19400.5	SMG7
Atha_AT5G19400.3	SMG7
Atha_AT5G19400.4	SMG7
Atha_AT5G19400.1	SMG7
Atha_AT5G19400.2	SMG7
Atha_AT3G61880.2	CYP78A9
Atha_AT3G61880.1	CYP78A9
