Scer_YEL012W	UBC8
Scer_YDR297W	SUR2
Scer_YBR191W	RPL21A
Scer_YKL060C	FBA1
Scer_YDL215C	GDH2
Scer_YJL205C	NCE101
Scer_YGL133W	ITC1
Scer_YOR355W	GDS1
Scer_YIL061C	SNP1
Scer_YGR078C	PAC10
Scer_YLR417W	VPS36
Scer_YPL082C	MOT1
Scer_YMR101C	SRT1
Scer_YBR299W	MAL32
Scer_YDL088C	ASM4
Scer_YKR034W	DAL80
Scer_YOR005C	DNL4
Scer_YCR081W	SRB8
Scer_YHR143W-A	RPC10
Scer_YMR296C	LCB1
Scer_YMR212C	EFR3
Scer_YDR039C	ENA2
Scer_YFL027C	GYP8
Scer_YJL075C	APQ13
Scer_YBL032W	HEK2
Scer_YFR039C	OSW7
Scer_YER184C	TOG1
Scer_YBR114W	RAD16
Scer_YBR267W	REI1
Scer_YIL009C-A	EST3
Scer_YDR075W	PPH3
Scer_YER060W-A	FCY22
Scer_YNL135C	FPR1
Scer_YPR107C	YTH1
Scer_YOL001W	PHO80
Scer_YNL032W	SIW14
Scer_YHR060W	VMA22
Scer_YOR187W	TUF1
Scer_YMR127C	SAS2
Scer_YDL223C	HBT1
Scer_YDR156W	RPA14
Scer_YDR167W	TAF10
Scer_YLL065W	YLL065W
Scer_YGR281W	YOR1
Scer_YPL146C	NOP53
Scer_YGL148W	ARO2
Scer_YPR133W-A	TOM5
Scer_YAL044C	GCV3
Scer_YOR151C	RPB2
Scer_YJL003W	COX16
Scer_YEL058W	PCM1
Scer_YNL325C	FIG4
Scer_YLR369W	SSQ1
Scer_YGL004C	RPN14
Scer_YJL196C	ELO1
Scer_YMR013C	SEC59
Scer_YHL013C	OTU2
Scer_YER165W	PAB1
Scer_YNL062C	GCD10
Scer_YML059C	NTE1
Scer_YML086C	ALO1
Scer_YPL036W	PMA2
Scer_YBL061C	SKT5
Scer_YHR216W	IMD2
Scer_YER182W	FMP10
Scer_YMR186W	HSC82
Scer_YMR169C	ALD3
Scer_YCL056C	PEX34
Scer_YGL223C	COG1
Scer_YJL098W	SAP185
Scer_YOR396W	YRF1-8
Scer_YLR332W	MID2
Scer_YOL066C	RIB2
Scer_YPR102C	RPL11A
Scer_YBR287W	YBR287W
Scer_YGL175C	SAE2
Scer_YHR071W	PCL5
Scer_YIL095W	PRK1
Scer_YHR107C	CDC12
Scer_YCR010C	ADY2
Scer_YNL161W	CBK1
Scer_YOR055W	YOR055W
Scer_YMR306W	FKS3
Scer_YGL128C	CWC23
Scer_YPR048W	TAH18
Scer_YPR140W	TAZ1
Scer_YKL208W	CBT1
Scer_Q0045	COX1
Scer_YKL058W	TOA2
Scer_YGL030W	RPL30
Scer_YHR209W	CRG1
Scer_YJL082W	IML2
Scer_YKR017C	HEL1
Scer_YER126C	NSA2
Scer_YDR110W	FOB1
Scer_YGL033W	HOP2
Scer_YKL046C	DCW1
Scer_YGR165W	MRPS35
Scer_YML103C	NUP188
Scer_YFL010W-A	AUA1
Scer_YGR193C	PDX1
Scer_YLR439W	MRPL4
Scer_YKL001C	MET14
Scer_YKL078W	DHR2
Scer_YJL062W	LAS21
Scer_YBR058C-A	TSC3
Scer_YNL106C	INP52
Scer_YNL204C	SPS18
Scer_YDR211W	GCD6
Scer_YIL111W	COX5B
Scer_YOR117W	RPT5
Scer_YOR074C	CDC21
Scer_YPL170W	DAP1
Scer_YHR072W	ERG7
Scer_YOR077W	RTS2
Scer_YAL043C	PTA1
Scer_YEL075W-A	YEL075W-A
Scer_YPL115C	BEM3
Scer_YBR268W	MRPL37
Scer_YJR022W	LSM8
Scer_YER025W	GCD11
Scer_YPL226W	NEW1
Scer_YLR348C	DIC1
