Acoe_PIA48948.1	DUF3535 SNF2_N Helicase_C
Acoe_PIA49290.1	SNF2_N Helicase_C
Acoe_PIA49577.1	SNF2_N Helicase_C
Acoe_PIA54804.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Acoe_PIA55709.1	SNF2_N
Acoe_PIA55710.1	SNF2_N Helicase_C
Acoe_PIA55888.1	SNF2_N Helicase_C
Acoe_PIA55894.1	SNF2_N Helicase_C
Acoe_PIA56435.1	SNF2_N Helicase_C
Acoe_PIA59973.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Acoe_PIA59974.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Acoe_PIA59976.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Acoe_PIA60677.1	SNF2_N Helicase_C
Acoe_PIA60678.1	SNF2_N Helicase_C
Acoe_PIA60914.1	PHD Chromo Chromo SNF2_N Helicase_C
Acoe_PIA60915.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60916.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60918.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60922.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA61608.1	SNF2_N Helicase_C SLIDE
Acoe_PIA64052.1	SNF2_N Helicase_C
Adig_XP_015750063.1	SNF2_N HAND SLIDE
Adig_XP_015751371.1	Chromo Chromo SNF2_N Chromo SNF2_N Helicase_C CDH1_2_SANT_HL1
Adig_XP_015752926.1	ADD_ATRX SNF2_N Helicase_C
Adig_XP_015754887.1	SNF2_N Helicase_C
Adig_XP_015754888.1	HSA SNF2_N Helicase_C
Adig_XP_015755983.1	SNF2_N
Adig_XP_015756191.1	PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Adig_XP_015757316.1	SNF2_N Helicase_C
Adig_XP_015760925.1	SNF2_N
Adig_XP_015760950.1	SNF2_N
Adig_XP_015762205.1	SNF2_N Helicase_C PKD PKD PKD
Adig_XP_015763895.1	DBINO SNF2_N Helicase_C
Adig_XP_015763981.1	SNF2_N zf-C3HC4_2 Helicase_C
Adig_XP_015764801.1	SNF2_N Helicase_C
Adig_XP_015764977.1	Chromo Chromo SNF2_N Helicase_C BRK
Adig_XP_015767121.1	DBINO SNF2_N Helicase_C
Adig_XP_015767152.1	SNF2_N Helicase_C Histone
Adig_XP_015768244.1	SNF2_N
Adig_XP_015769184.1	SNF2_N Helicase_C
Adig_XP_015769544.1	DBINO SNF2_N Helicase_C HAND
Adig_XP_015771782.1	DUF3535 SNF2_N Helicase_C
Adig_XP_015771839.1	SNF2_N SNF2_N Helicase_C
Adig_XP_015777290.1	HSA BRK SNF2_N SnAC Bromodomain
Adig_XP_015779865.1	SNF2_N Helicase_C
Alblai_CCA13893	DUF3535 SNF2_N Helicase_C
Alblai_CCA13894	DUF3535 SNF2_N Helicase_C
Alblai_CCA14266	SNF2_N Helicase_C
Alblai_CCA14554	SNF2_N Helicase_C
Alblai_CCA15572	Chromo Chromo SNF2_N Helicase_C
Alblai_CCA16095	Chromo Chromo SNF2_N Helicase_C
Alblai_CCA16363	Chromo SNF2_N Helicase_C PHD_2 zf-HC5HC2H_2
Alblai_CCA17469	HMG_box_2 SNF2_N Helicase_C SLIDE
Alblai_CCA19972	SNF2_N Helicase_C SnAC Bromodomain
Alblai_CCA20908	SNF2_N Helicase_C
Alblai_CCA21274	SNF2_N Helicase_C
Alblai_CCA22100	SNF2_N Helicase_C SLIDE
Alblai_CCA22651	Bromodomain PHD Chromo SNF2_N Helicase_C
Alblai_CCA22986	HSA SNF2_N Helicase_C Beta_helix
Alblai_CCA25191	SNF2_N Helicase_C
Alblai_CCA25192	SNF2_N Helicase_C
Alblai_CCA25894	SNF2_N zf-C3HC4 Helicase_C
Amac_KNE54399	HIRAN SNF2_N zf-C3HC4_2 Helicase_C
Amac_KNE54647	SNF2_N zf-RING_5
Amac_KNE54964	SNF2_N Helicase_C SLIDE
Amac_KNE55419	Helicase_C_3 ResIII ERCC3_RAD25_C
Amac_KNE55941	DUF3535 DUF3535 SNF2_N Helicase_C
Amac_KNE56052	HIRAN SNF2_N zf-C3HC4_2 Helicase_C
