gene	name
Hsap_ENSG00000101040_ZMYND8	ZMYND8
Hsap_ENSG00000108773_KAT2A	KAT2A
Hsap_ENSG00000112983_BRD8	BRD8
Hsap_ENSG00000114166_KAT2B	KAT2B
Hsap_ENSG00000116539_ASH1L	ASH1L
Hsap_ENSG00000119778_ATAD2B	ATAD2B
Hsap_ENSG00000122728_TAF1L	TAF1L
Hsap_ENSG00000122779_TRIM24	TRIM24
Hsap_ENSG00000123636_BAZ2B	BAZ2B
Hsap_ENSG00000127616_SMARCA4	SMARCA4
Hsap_ENSG00000137948_BRDT	BRDT
Hsap_ENSG00000141867_BRD4	BRD4
Hsap_ENSG00000146247_PHIP	PHIP
Hsap_ENSG00000147133_TAF1	TAF1
Hsap_ENSG00000156802_ATAD2	ATAD2
Hsap_ENSG00000156983_BRPF1	BRPF1
Hsap_ENSG00000163939_PBRM1	PBRM1
Hsap_ENSG00000165288_BRWD3	BRWD3
Hsap_ENSG00000166164_BRD7	BRD7
Hsap_ENSG00000166436_TRIM66	TRIM66
Hsap_ENSG00000169925_BRD3	BRD3
Hsap_ENSG00000171634_BPTF	BPTF
Hsap_ENSG00000185404_SP140L	SP140L
Hsap_ENSG00000185658_BRWD1	BRWD1
Hsap_ENSG00000197323_TRIM33	TRIM33
Hsap_ENSG00000198604_BAZ1A	BAZ1A
Hsap_ENSG00000204256_BRD2	BRD2
Hsap_ENSG00000215077_BRD2	BRD2
Hsap_ENSG00000234507_BRD2	BRD2
Hsap_ENSG00000234704_BRD2	BRD2
Hsap_ENSG00000235307_BRD2	BRD2
Hsap_ENSG00000236227_BRD2	BRD2
Hsap_ENSG00000167670_CHAF1A	CHAF1A
Hsap_ENSG00000094916_CBX5	CBX5
Hsap_ENSG00000100307_CBX7	CBX7
Hsap_ENSG00000100888_CHD8	CHD8
Hsap_ENSG00000101945_SUV39H1	SUV39H1
Hsap_ENSG00000108468_CBX1	CBX1
Hsap_ENSG00000111642_CHD4	CHD4
Hsap_ENSG00000116254_CHD5	CHD5
Hsap_ENSG00000122565_CBX3	CBX3
Hsap_ENSG00000124177_CHD6	CHD6
Hsap_ENSG00000129873_CDY2B	CDY2B
Hsap_ENSG00000141570_CBX8	CBX8
Hsap_ENSG00000141582_CBX4	CBX4
Hsap_ENSG00000152455_SUV39H2	SUV39H2
Hsap_ENSG00000153046_CDYL	CDYL
Hsap_ENSG00000153922_CHD1	CHD1
Hsap_ENSG00000166446_CDYL2	CDYL2
Hsap_ENSG00000170004_CHD3	CHD3
Hsap_ENSG00000171316_CHD7	CHD7
Hsap_ENSG00000172288_CDY1	CDY1
Hsap_ENSG00000172352_CDY1B	CDY1B
Hsap_ENSG00000173575_CHD2	CHD2
Hsap_ENSG00000173894_CBX2	CBX2
Hsap_ENSG00000177200_CHD9	CHD9
Hsap_ENSG00000182415_CDY2A	CDY2A
Hsap_ENSG00000183741_CBX6	CBX6
Hsap_ENSG00000196199_MPHOSPH8	MPHOSPH8
Hsap_ENSG00000149929_HIRIP3	HIRIP3
Hsap_ENSG00000006459_KDM7A	KDM7A
Hsap_ENSG00000008083_JARID2	JARID2
Hsap_ENSG00000012817_KDM5D	KDM5D
Hsap_ENSG00000066135_KDM4A	KDM4A
Hsap_ENSG00000070495_JMJD6	JMJD6
Hsap_ENSG00000073614_KDM5A	KDM5A
Hsap_ENSG00000081692_JMJD4	JMJD4
Hsap_ENSG00000089094_KDM2B	KDM2B
Hsap_ENSG00000107077_KDM4C	KDM4C
Hsap_ENSG00000115548_KDM3A	KDM3A
Hsap_ENSG00000117139_KDM5B	KDM5B
Hsap_ENSG00000120733_KDM3B	KDM3B
Hsap_ENSG00000126012_KDM5C	KDM5C
Hsap_ENSG00000127663_KDM4B	KDM4B
Hsap_ENSG00000132510_KDM6B	KDM6B
Hsap_ENSG00000147050_KDM6A	KDM6A
Hsap_ENSG00000155666_KDM8	KDM8
Hsap_ENSG00000161999_JMJD8	JMJD8
Hsap_ENSG00000162971_TYW5	TYW5
Hsap_ENSG00000166135_HIF1AN	HIF1AN
Hsap_ENSG00000168453_HR	HR
Hsap_ENSG00000168970_JMJD7	JMJD7
Hsap_ENSG00000169087_HSPBAP1	HSPBAP1
Hsap_ENSG00000170468_RIOX1	RIOX1
Hsap_ENSG00000170854_RIOX2	RIOX2
Hsap_ENSG00000171988_JMJD1C	JMJD1C
Hsap_ENSG00000172943_PHF8	PHF8
Hsap_ENSG00000173120_KDM2A	KDM2A
Hsap_ENSG00000183878_UTY	UTY
Hsap_ENSG00000186280_KDM4D	KDM4D
Hsap_ENSG00000197724_PHF2	PHF2
Hsap_ENSG00000235268_KDM4E	KDM4E
Hsap_ENSG00000243789_JMJD7	JMJD7
Hsap_ENSG00000255855_KDM4F	KDM4F
Hsap_ENSG00000284989_AL451062	AL451062
Hsap_ENSG00000204209_DAXX	DAXX
Hsap_ENSG00000206206_DAXX	DAXX
Hsap_ENSG00000206279_DAXX	DAXX
Hsap_ENSG00000227046_DAXX	DAXX
Hsap_ENSG00000231617_DAXX	DAXX
Hsap_ENSG00000104885_DOT1L	DOT1L
Hsap_ENSG00000135372_NAT10	NAT10
Hsap_ENSG00000128708_HAT1	HAT1
Hsap_ENSG00000100644_HIF1A	HIF1A
Hsap_ENSG00000116016_EPAS1	EPAS1
Hsap_ENSG00000124440_HIF3A	HIF3A
Hsap_ENSG00000100084_HIRA	HIRA
Hsap_ENSG00000048052_HDAC9	HDAC9
Hsap_ENSG00000061273_HDAC7	HDAC7
Hsap_ENSG00000068024_HDAC4	HDAC4
Hsap_ENSG00000094631_HDAC6	HDAC6
Hsap_ENSG00000100429_HDAC10	HDAC10
Hsap_ENSG00000108840_HDAC5	HDAC5
Hsap_ENSG00000116478_HDAC1	HDAC1
Hsap_ENSG00000147099_HDAC8	HDAC8
Hsap_ENSG00000163517_HDAC11	HDAC11
Hsap_ENSG00000171720_HDAC3	HDAC3
Hsap_ENSG00000196591_HDAC2	HDAC2
Hsap_ENSG00000064995_TAF11	TAF11
Hsap_ENSG00000066136_NFYC	NFYC
Hsap_ENSG00000099284_H2AFY2	H2AFY2
Hsap_ENSG00000100485_SOS2	SOS2
Hsap_ENSG00000101812_H2BFM	H2BFM
Hsap_ENSG00000102901_CENPT	CENPT
Hsap_ENSG00000104472_CHRAC1	CHRAC1
Hsap_ENSG00000105968_H2AFV	H2AFV
Hsap_ENSG00000113648_H2AFY	H2AFY
Hsap_ENSG00000115163_CENPA	CENPA
Hsap_ENSG00000115350_POLE4	POLE4
Hsap_ENSG00000115904_SOS1	SOS1
Hsap_ENSG00000117505_DR1	DR1
Hsap_ENSG00000120656_TAF12	TAF12
Hsap_ENSG00000120837_NFYB	NFYB
Hsap_ENSG00000123569_H2BFWT	H2BFWT
Hsap_ENSG00000124635_HIST1H2BJ	HIST1H2BJ
Hsap_ENSG00000132475_H3F3B	H3F3B
Hsap_ENSG00000146047_HIST1H2BA	HIST1H2BA
Hsap_ENSG00000148229_POLE3	POLE3
Hsap_ENSG00000158373_HIST1H2BD	HIST1H2BD
Hsap_ENSG00000163041_H3F3A	H3F3A
Hsap_ENSG00000164032_H2AFZ	H2AFZ
Hsap_ENSG00000164508_HIST1H2AA	HIST1H2AA
Hsap_ENSG00000168148_HIST3H3	HIST3H3
Hsap_ENSG00000175550_DRAP1	DRAP1
Hsap_ENSG00000180573_HIST1H2AC	HIST1H2AC
Hsap_ENSG00000180596_HIST1H2BC	HIST1H2BC
Hsap_ENSG00000181218_HIST3H2A	HIST3H2A
Hsap_ENSG00000183598_HIST2H3D	HIST2H3D
Hsap_ENSG00000184260_HIST2H2AC	HIST2H2AC
Hsap_ENSG00000184270_HIST2H2AB	HIST2H2AB
Hsap_ENSG00000184678_HIST2H2BE	HIST2H2BE
Hsap_ENSG00000185130_HIST1H2BL	HIST1H2BL
Hsap_ENSG00000188375_H3F3C	H3F3C
Hsap_ENSG00000188486_H2AFX	H2AFX
Hsap_ENSG00000196747_HIST1H2AI	HIST1H2AI
Hsap_ENSG00000196787_HIST1H2AG	HIST1H2AG
Hsap_ENSG00000196866_HIST1H2AD	HIST1H2AD
Hsap_ENSG00000196890_HIST3H2BB	HIST3H2BB
Hsap_ENSG00000197153_HIST1H3J	HIST1H3J
Hsap_ENSG00000197409_HIST1H3D	HIST1H3D
Hsap_ENSG00000197903_HIST1H2BK	HIST1H2BK
Hsap_ENSG00000203811_HIST2H3C	HIST2H3C
Hsap_ENSG00000203812_HIST2H2AA3	HIST2H2AA3
Hsap_ENSG00000203814_HIST2H2BF	HIST2H2BF
Hsap_ENSG00000203818_HIST2H3PS2	HIST2H3PS2
Hsap_ENSG00000203852_HIST2H3A	HIST2H3A
Hsap_ENSG00000233822_HIST1H2BN	HIST1H2BN
Hsap_ENSG00000234289_H2BFS	H2BFS
Hsap_ENSG00000246705_H2AFJ	H2AFJ
Hsap_ENSG00000269466_H3	H3
Hsap_ENSG00000272196_HIST2H2AA4	HIST2H2AA4
Hsap_ENSG00000273703_HIST1H2BM	HIST1H2BM
Hsap_ENSG00000273802_HIST1H2BG	HIST1H2BG
Hsap_ENSG00000273983_HIST1H3G	HIST1H3G
Hsap_ENSG00000274267_HIST1H3B	HIST1H3B
Hsap_ENSG00000274290_HIST1H2BE	HIST1H2BE
Hsap_ENSG00000274559_H2BFS	H2BFS
Hsap_ENSG00000274641_HIST1H2BO	HIST1H2BO
Hsap_ENSG00000274750_HIST1H3E	HIST1H3E
Hsap_ENSG00000274997_HIST1H2AH	HIST1H2AH
Hsap_ENSG00000275221_HIST1H2AK	HIST1H2AK
Hsap_ENSG00000275379_HIST1H3I	HIST1H3I
Hsap_ENSG00000275713_HIST1H2BH	HIST1H2BH
Hsap_ENSG00000275714_HIST1H3A	HIST1H3A
Hsap_ENSG00000276368_HIST1H2AJ	HIST1H2AJ
Hsap_ENSG00000276410_HIST1H2BB	HIST1H2BB
Hsap_ENSG00000276903_HIST1H2AL	HIST1H2AL
Hsap_ENSG00000277075_HIST1H2AE	HIST1H2AE
Hsap_ENSG00000277224_HIST1H2BF	HIST1H2BF
Hsap_ENSG00000277775_HIST1H3F	HIST1H3F
Hsap_ENSG00000278272_HIST1H3C	HIST1H3C
Hsap_ENSG00000278463_HIST1H2AB	HIST1H2AB
Hsap_ENSG00000278588_HIST1H2BI	HIST1H2BI
Hsap_ENSG00000278677_HIST1H2AM	HIST1H2AM
Hsap_ENSG00000278828_HIST1H3H	HIST1H3H
Hsap_ENSG00000282988_AL031777	AL031777
Hsap_ENSG00000283776_AC233724	AC233724
Hsap_ENSG00000283967_AC233724	AC233724
Hsap_ENSG00000283988_AC233724	AC233724
Hsap_ENSG00000284042_AC106774	AC106774
Hsap_ENSG00000284234_AC106774	AC106774
Hsap_ENSG00000284283_AC106774	AC106774
Hsap_ENSG00000284356_AC233724	AC233724
Hsap_ENSG00000284439_AC106774	AC106774
Hsap_ENSG00000284465_AC233724	AC233724
Hsap_ENSG00000284841_HIST3H2A	HIST3H2A
Hsap_ENSG00000285435_HIST3H3	HIST3H3
Hsap_ENSG00000285449_HIST3H2BB	HIST3H2BB
