MAG_ID	Family	Clade	Clade_abbreviation	habitat	num_contigs	sum_len_contigs	min_len_contigs	avg_len_contigs	max_len_contigs	N50_contig_length	num_proteins	sum_protein_length	min_protein_len	avg_protein_len	max_protein_len
ERX555984.23	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	16	360332	10512	22520.8	41276	24927	477	116450	20	244.1	1712
SRX803008.74	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_5	EP05	Marine	3	316217	55673	105405.7	145855	114689	368	97576	31	265.2	1995
ERX552244.11	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_6	EP06	Marine	9	213592	10684	23732.4	56425	31366	239	62410	34	261.1	2175
ERX682739.15	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_7	EP07	Freshwater	11	321673	10068	29243	131605	46362	417	94045	33	225.5	2200
ERX552299.29	Early_Phycodnaviridae	Early_Phycodnaviridae_clade_8	EP08	Marine	3	144038	11160	48012.7	100187	100187	176	45409	32	258	1498
ERX552261.5	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	9	168731	11680	18747.9	37867	23653	189	53057	33	280.7	2747
ERX552261.56	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	307536	12839	27957.8	45669	27201	346	93418	30	270	1639
ERX552270.117	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	6	155701	14806	25950.2	43673	38518	166	49778	21	299.9	1914
ERX552270.122	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	3	100409	22415	33469.7	54533	54533	112	31495	24	281.2	3340
SRX331703.30	Iridivoridae	Iridivoridae_clade_1	IR01	Freshwater	14	270703	10180	19335.9	36632	22765	291	82599	37	283.8	1354
SRX331950.29	Iridivoridae	Iridivoridae_clade_1	IR01	Freshwater	7	381292	10302	54470.3	138523	98706	393	117153	37	298.1	1577
SRX802076.27	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	8	234631	12060	29328.9	54836	28399	232	69987	30	301.7	2194
SRX802077.164	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	165392	11175	15035.6	19877	14757	191	50291	30	263.3	1569
SRX802143.125	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	12	331275	11400	27606.3	78710	39250	356	100218	32	281.5	1567
SRX802189.61	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	11	280222	10095	25474.7	44605	30286	324	85916	32	265.2	1317
SRX802202.32	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	4	209005	11536	52251.3	150921	150921	184	62200	41	338	2689
SRX802202.41	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	9	245886	13447	27320.7	48689	28284	258	75342	24	292	1667
SRX802963.105	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	8	254780	13170	31847.5	66843	40380	265	77859	21	293.8	1667
SRX803008.97	Iridivoridae	Iridivoridae_clade_1	IR01	Marine	7	256109	18799	36587	73549	56495	255	76183	30	298.8	2194
ERX943717.62	Iridivoridae	Iridivoridae_clade_2	IR02	Marine	5	157242	17879	31448.4	48549	47781	164	48251	33	294.2	1324
ERX943721.61	Iridivoridae	Iridivoridae_clade_2	IR02	Marine	5	148860	10082	29772	69205	38081	155	45414	28	293	1324
ERX1114176.37	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	146670	19370	36667.5	56383	47945	227	45920	33	202.3	1057
ERX289004.48	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	142105	10705	23684.2	34434	22729	178	45325	23	254.6	1772
ERX552252.26	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	3	139293	32161	46431	70856	70856	212	43981	35	207.5	1461
ERX552252.57	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	141967	12233	20281	30153	23460	212	45536	37	214.8	1074
ERX552252.6	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	165302	64665	82651	100637	100637	206	52879	34	256.7	2285
ERX552253.44	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	146122	11402	36530.5	68883	38492	220	46494	20	211.3	1461
ERX552274.25	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	167550	64328	83775	103222	103222	211	53634	34	254.2	2285
ERX552274.7	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	120849	11891	20141.5	28548	25759	180	38669	39	214.8	1424
ERX552280.25	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	105774	10169	17629	25489	17677	160	33087	44	206.8	1015
ERX552283.11	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	9	123748	10790	13749.8	19199	13858	189	39560	28	209.3	902
ERX552283.12	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	8	119588	10807	14948.5	20378	14235	175	38002	32	217.2	1643
ERX552283.13	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	158789	14811	39697.3	53406	49954	225	51319	36	228.1	1491
ERX552295.44	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	2	153610	42692	76805	110918	110918	194	49001	43	252.6	1940
ERX552309.9	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	157748	17283	39437	68922	38595	234	50140	33	214.3	1073
ERX552326.9	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	157771	11010	22538.7	38109	25741	243	49535	36	203.8	1420
ERX552333.20	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	148709	14307	29741.8	81121	81121	211	46242	41	219.2	1310
ERX552336.20	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	147036	12400	29407.2	56065	30071	204	46830	35	229.6	1547
ERX552336.34	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	7	152108	10652	21729.7	43104	38907	203	48040	33	236.7	1772
ERX552348.26	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	130852	22384	32713	49947	35674	166	41893	35	252.4	2714
ERX552357.22	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	110228	12885	27557	41630	38555	160	34424	39	215.2	1359
ERX555907.107	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	154620	14852	25770	51143	26738	228	49380	30	216.6	1073
ERX555907.43	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	10	181623	10047	18162.3	26412	22634	280	58198	20	207.9	2426
ERX555907.98	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	107999	12425	21599.8	26616	22972	141	34874	39	247.3	2823
ERX555913.35	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	109794	14751	21958.8	42831	19283	163	34491	30	211.6	1298
ERX555927.8	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	122603	24895	30650.8	38137	31136	170	38874	38	228.7	1385
ERX555958.13	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	101122	15720	25280.5	49405	18287	141	32098	58	227.6	1345
ERX555958.18	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	5	106322	11010	21264.4	26851	25909	159	33602	37	211.3	1074
ERX555961.17	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	4	143173	31552	35793.3	44645	34541	210	45531	38	216.8	1074
ERX555961.3	Late_Phycodnaviridae	Late_Phycodnaviridae_clade_1	LP01	Marine	6	136799	17219	22799.8	36960	21976	184	44353	34	241	2892
