i	j	weight
7tm_2	ADD_DNMT3	1
7tm_2	DNA_methylase	1
7tm_2	GPS	1
7tm_2	PWWP	1
AAA	HMG_box	1
AAA	PWWP	1
ADD_DNMT3	Aminotran_1_2	1
ADD_DNMT3	CH	1
ADD_DNMT3	DNA_methylase	31
ADD_DNMT3	GPS	1
ADD_DNMT3	PWWP	34
ARID	PWWP	12
ARID	Tudor-knot	1
ARID	zf-CW	10
AWS	C5HCH	37
AWS	HMG_box	11
AWS	PHD	9
AWS	PWWP	59
AWS	SET	58
Aminotran_1_2	PWWP	1
Ank_2	PWWP	1
Astacin	PWWP	1
BAH	PWWP	1
BTB	PWWP	1
Bromodomain	DUF3544	3
Bromodomain	EPL1	38
Bromodomain	FYRC	2
Bromodomain	FYRN	4
Bromodomain	HTH_psq	1
Bromodomain	PHD	20
Bromodomain	PHD_2	40
Bromodomain	PWWP	117
Bromodomain	RIIa	1
Bromodomain	SET	4
Bromodomain	cNMP_binding	1
Bromodomain	zf-HC5HC2H	2
Bromodomain	zf-HC5HC2H_2	42
Bromodomain	zf-MYND	1
C5HCH	HMG_box	8
C5HCH	PHD	6
C5HCH	PWWP	37
C5HCH	SET	37
CAF1A	Chromo	1
CAF1A	KHA	1
CAF1A	PWWP	1
CH	DNA_methylase	1
CH	PWWP	1
CID	GSHPx	2
CID	PWWP	31
Cation_ATPase_N	PWWP	1
Chromo	DUF1087	7
Chromo	Helicase_C	8
Chromo	KHA	1
Chromo	PHD	8
Chromo	PWWP	10
Chromo	SNF2_N	8
Chromo	zf-CW	1
DDT	HMG_box	1
DDT	Linker_histone	2
DDT	PWWP	3
DDT	WHIM1	2
DDT	WSD	2
DEK_C	HMG_box	1
DEK_C	Med26	3
DEK_C	PWWP	3
DNA_ligase_A_M	PWWP	1
DNA_methylase	GPS	1
DNA_methylase	PWWP	34
DNA_methylase	mono-CXXC	1
DUF1087	Helicase_C	7
DUF1087	PHD	7
DUF1087	PWWP	7
DUF1087	SNF2_N	7
DUF3544	PWWP	3
DUF455	PWWP	1
ELL	PWWP	1
ELM2	PWWP	1
EPL1	IQ	1
EPL1	Myosin_TH1	1
EPL1	Myosin_head	1
EPL1	PHD_2	39
EPL1	PWWP	41
EPL1	RIIa	1
EPL1	cNMP_binding	1
EPL1	zf-HC5HC2H_2	39
Exo_endo_phos_2	PWWP	1
Exo_endo_phos_2	RVT_1	1
Exo_endo_phos_2	zf-CW	1
FAM221	PWWP	1
FYRC	FYRN	23
FYRC	LBR_tudor	1
FYRC	PHD	5
FYRC	PHD_2	16
FYRC	PWWP	24
FYRC	SET	22
FYRC	WSD	1
FYRC	zf-HC5HC2H	1
FYRC	zf-HC5HC2H_2	21
FYRN	LBR_tudor	1
FYRN	PHD	7
FYRN	PHD_2	15
FYRN	PWWP	24
FYRN	SET	23
FYRN	WSD	1
FYRN	zf-HC5HC2H	2
FYRN	zf-HC5HC2H_2	21
GPS	PWWP	1
GSHPx	PWWP	2
HMG_box	Med26	1
HMG_box	PHD	5
HMG_box	PHD_2	1
HMG_box	PWWP	18
HMG_box	SAND	1
HMG_box	SET	12
HMG_box	zf-CW	1
HMG_box	zf-HC5HC2H_2	1
HORMA	PWWP	1
HTH_psq	PWWP	1
Helicase_C	PHD	8
Helicase_C	PWWP	11
Helicase_C	SNF2_N	11
