i	j	weight
AAA	AAA_lid_3	1
AAA	BIR	1
AAA	Prot_ATP_ID_OB	1
AAA	zf-C3HC4_3	1
AAA_lid_3	BIR	1
AAA_lid_3	Prot_ATP_ID_OB	1
AAA_lid_3	zf-C3HC4_3	1
Ank_2	BIR	1
BIR	BIR	221
BIR	BIRC6	24
BIR	CAP_C	5
BIR	CARD	4
BIR	DDHD	2
BIR	DUF2358	1
BIR	EF-hand_8	1
BIR	Exo_endo_phos_2	1
BIR	G-patch	1
BIR	HEAT_2	1
BIR	MORN	2
BIR	MT-A70	1
BIR	NACHT	3
BIR	NLRC4_HD	3
BIR	NOD2_WH	3
BIR	Neur_chan_LBD	1
BIR	Neur_chan_memb	1
BIR	OCRE	1
BIR	PB1	1
BIR	PDZ	1
BIR	Pkinase	1
BIR	Prot_ATP_ID_OB	1
BIR	RRM_1	1
BIR	RVT_1	1
BIR	SRCR	1
BIR	TLD	1
BIR	TPR_10	1
BIR	TPR_12	1
BIR	UQ_con	24
BIR	adh_short	1
BIR	zf-C3HC4_3	119
BIRC6	UQ_con	22
CARD	zf-C3HC4_3	4
Exo_endo_phos_2	RVT_1	1
G-patch	OCRE	1
G-patch	RRM_1	1
G-patch	zf-C3HC4_3	1
NACHT	NLRC4_HD	3
NACHT	NOD2_WH	3
NLRC4_HD	NOD2_WH	3
Neur_chan_LBD	Neur_chan_memb	1
OCRE	RRM_1	1
OCRE	zf-C3HC4_3	1
PB1	Pkinase	1
Prot_ATP_ID_OB	zf-C3HC4_3	1
RRM_1	zf-C3HC4_3	1
TLD	UQ_con	1
TPR_10	TPR_12	1
