i	j	weight
AAA	ADK	1
AAA	Dpy-30	3
AAA_14	Dpy-30	1
AAA_17	ADK	1
AAA_17	Dpy-30	9
AAA_28	Dpy-30	2
ADK	ADK_lid	1
ADK	Dpy-30	73
ADK	Guanylate_kin	2
ADK	Hydin_ADK	1
ADK	IQ	1
ADK	NDK	5
ADK_lid	Dpy-30	1
APG5	Dpy-30	1
ATP-gua_Ptrans	ATP-gua_PtransN	1
ATP-gua_Ptrans	Ank_2	1
ATP-gua_Ptrans	Dpy-30	1
ATP-gua_PtransN	Ank_2	1
ATP-gua_PtransN	Dpy-30	1
Ank_2	Dpy-30	10
C2	Dpy-30	1
Calpain_III	Dpy-30	3
Calpain_III	NDK	3
Calpain_III	Peptidase_C2	3
DUF4347	Dpy-30	2
DUF4347	F-box	1
DUF4347	F-box-like	1
DUF4347	RhoGEF	2
DUF4639	Dpy-30	1
Dpy-30	Dpy-30	392
Dpy-30	EF-hand_5	1
Dpy-30	EF-hand_7	2
Dpy-30	F-box	1
Dpy-30	F-box-like	1
Dpy-30	Guanylate_kin	2
Dpy-30	Hydin_ADK	4
Dpy-30	IQ	5
Dpy-30	Integrase_H2C2	1
Dpy-30	Ion_trans_2	1
Dpy-30	Laminin_G_3	1
Dpy-30	Lectin_C	1
Dpy-30	NDK	82
Dpy-30	Nuc_sug_transp	1
Dpy-30	PPR	1
Dpy-30	PPR_2	1
Dpy-30	Peptidase_C2	3
Dpy-30	Pkinase	8
Dpy-30	RabGAP-TBC	1
Dpy-30	RhoGEF	2
Dpy-30	Rtt106	1
Dpy-30	SKI	1
Dpy-30	TNFR_c6	1
Dpy-30	TRAPPC-Trs85	1
Dpy-30	TerD	4
Dpy-30	U-box	1
Dpy-30	UQ_con	1
Dpy-30	WD40	2
Dpy-30	YqaJ	1
Dpy-30	cNMP_binding	6
Dpy-30	rve	1
Dpy-30	zf-4CXXC_R1	1
EF-hand_5	EF-hand_7	1
EF-hand_5	Pkinase	1
EF-hand_7	Pkinase	1
F-box	RhoGEF	1
F-box-like	RhoGEF	1
Guanylate_kin	IQ	1
IQ	NDK	4
Integrase_H2C2	rve	1
Ion_trans_2	cNMP_binding	1
Lectin_C	TNFR_c6	1
Lectin_C	UQ_con	1
NDK	PPR	1
NDK	PPR_2	1
NDK	Peptidase_C2	3
NDK	cNMP_binding	1
Nuc_sug_transp	U-box	1
Nuc_sug_transp	YqaJ	1
PPR	PPR_2	1
RIIa	RIIa	2
Rtt106	WD40	1
TNFR_c6	UQ_con	1
U-box	YqaJ	1
