i	j	weight
Fibrillarin	zf-C2H2	2
Fibrillarin	zf-C2H2_4	2
Glyco_transf_92	zf-C2H2	1
Glyco_transf_92	zf-met	1
HLH	zf-C2H2	1
Homeodomain	zf-C2H2	1
Homeodomain	zf-C2H2_4	1
Zfx_Zfy_act	zf-C2H2	4
zf-AD	zf-C2H2	7
zf-AD	zf-C2H2_4	1
zf-AD	zf-C2H2_6	3
zf-AD	zf-Di19	1
zf-AD	zf-met	1
zf-C2H2	zf-C2H2	111
zf-C2H2	zf-C2H2_11	1
zf-C2H2	zf-C2H2_4	10
zf-C2H2	zf-C2H2_6	11
zf-C2H2	zf-Di19	2
zf-C2H2	zf-H2C2_2	1
zf-C2H2	zf-H2C2_5	1
zf-C2H2	zf-met	11
zf-C2H2	zf_ZIC	10
zf-C2H2_4	zf-C2H2_4	1
zf-C2H2_4	zf-C2H2_6	1
zf-C2H2_4	zf-H2C2_5	1
zf-C2H2_4	zf-met	2
zf-C2H2_6	zf-met	1
