i	j	weight
3HCDH	3HCDH_N	1
3HCDH	AAA	1
3HCDH	AAA_lid_3	1
3HCDH	Bromodomain	1
3HCDH	ECH_1	1
3HCDH_N	AAA	1
3HCDH_N	AAA_lid_3	1
3HCDH_N	Bromodomain	1
3HCDH_N	ECH_1	1
AAA	AAA_lid_3	90
AAA	Bromodomain	98
AAA	CUB	1
AAA	ECH_1	1
AAA	PHD	1
AAA	Ribosomal_L17	1
AAA	TIG	1
AAA_lid_3	Bromodomain	91
AAA_lid_3	CUB	1
AAA_lid_3	ECH_1	1
AAA_lid_3	PHD	1
ADK	Bromodomain	1
ADK	Hemerythrin	1
ANAPC4_WD40	Bromodomain	1
ANAPC4_WD40	WD40	1
AP2	Bromodomain	1
AP2	PWWP	1
ARID	Bromodomain	5
ARID	Chromo	1
ARID	DDT	1
ARID	DNMT1-RFD	3
ARID	HMG_box_2	1
ARID	Helicase_C	1
ARID	SNF2_N	1
ATP_bind_1	Bromodomain	1
AWS	BAH	20
AWS	Bromodomain	21
AWS	PHD	2
AWS	SET	21
Abhydrolase_3	Bromodomain	2
Abhydrolase_3	PI-PLC-X	1
Abhydrolase_3	PI-PLC-Y	1
Acetyltransf_1	Bromodomain	175
Acetyltransf_1	CRT-like	1
Acetyltransf_1	PCAF_N	45
Acetyltransf_1	Utp12	1
Acetyltransf_1	WD40	1
Acetyltransf_1	ZZ	1
Acetyltransf_7	Bromodomain	1
Acetyltransf_7	PHD	1
Aminotran_5	Bromodomain	1
Aminotran_5	MOSC	1
Aminotran_5	MOSC_N	1
Ank	Ank_2	2
Ank	Bromodomain	2
Ank_2	Ank_3	2
Ank_2	Ank_4	7
Ank_2	BET	5
Ank_2	BTB	6
Ank_2	Bromodomain	31
Ank_3	Bromodomain	2
Ank_4	BET	1
Ank_4	BTB	1
Ank_4	Bromodomain	7
Ank_5	Bromodomain	1
Ank_5	DnaJ	1
Atg14	Bromodomain	1
Atg14	Proteasome	1
Atg14	Proteasome_A_N	1
