Acetyltransf_1	GNAT_acetyltr_2	Hist_deacetyl	SIR2	DOT1	SET	CupinJmjC	ING	MBT	PWWP	SNF2_N	ASF1_hist_chap
Archaea taxon	0.670177383592018	0.399307958477509	0.580452127659574	0.361851332398317	0.129078014184397	0.0738413197172035	0.00640512409927942	0.00240770465489567	0	0.00160513643659711	0.517193947730399	0.00160513643659711
Actinobacteria taxon	0.00190222560395663	0	0.00150772710139465	0.00171610688894337	0.0128205128205128	0.00632911392405063	0.00175029171528588	0	0	0	0.00152140838948055	0
Bacteroidetes taxon	0.000434216239687364	0	0	0.000513347022587269	0	0	0	0	0	0	0.000645994832041344	0
Firmicutes taxon	0.00343347639484979	0.0434782608695652	0.00647948164146868	0.00563063063063063	0.0114068441064639	0.0134615384615385	0.0909090909090909	0.0416666666666667	0	0.0625	0.00432315590380978	0
Proteobacteria taxon	0.0020938422004378	0.00372960372960373	0.00199004975124378	0.00280528052805281	0.00552922590837283	0.00388161086851043	0.00284748175831999	0	0	0	0.0026117683207866	0
Spirochaetes taxon	0.0148148148148148	0	0.0224719101123595	0.0168067226890756	0	0.0303030303030303	0	0	0	0	0.015625	0
