Histone	LinkerHistone	Acetyltransf_1	GNAT_acetyltr_2	Hat1_N	KAT11	MOZ_SAS	Hist_deacetyl	SIR2	DOT1	SET	SWIRM	CupinJmjC	ADD_ATRX	ADD_DNMT3	BAH	BIR	Bromodomain	Chromo	ING	MBT	MRG	PHD	PWWP	SAWADEE	TTD	TUDOR	zf-CW	YEATS	SNF2_N	ASF1_hist_chap	CAF1A	CHZ	Daxx	Hira	HJURP_mid	NAP	Rtt106	SPT16	SSrecog	zf-CCHH	UBN_AB	Nucleoplasmin	ATF7IP	PA1	Dpy-30	Menin	NCOA6	PTIP	TRRAP	AF9	PCRing	YAF2_RYBP	SAM	SLED	Suz12	CAF1C	Kelch	zf-C2H2	zf-CXXC	WD40
Streptophyta	801	139	497	15	15	48	25	159	52	3	684	115	324	7	0	225	0	304	389	41	0	24	782	173	55	0	21	146	17	597	30	18	7	0	20	0	79	41	21	20	11	2	57	0	0	30	0	0	227	57	0	35	0	148	0	26	72	663	170	0	2861
Chlorophyta	190	16	249	9	7	8	18	88	26	15	248	18	166	1	0	18	0	91	30	12	0	8	133	29	3	0	7	36	11	204	8	7	3	0	8	0	16	19	8	10	0	0	9	0	0	22	3	0	37	21	0	3	0	34	0	7	21	113	13	0	947
Rhodophyta	119	5	105	5	4	0	7	20	18	1	53	12	42	0	0	4	0	63	31	3	0	5	23	21	0	0	4	2	4	96	5	4	0	0	5	0	5	12	5	6	0	0	5	0	0	7	0	0	19	15	0	0	0	11	0	7	9	19	178	0	485
Glaucophyta	19	2	7	0	0	0	2	3	1	1	10	1	2	0	0	1	0	5	3	1	0	0	4	4	0	0	0	1	1	18	2	0	0	0	0	0	2	2	0	2	0	0	1	0	0	1	0	0	1	2	0	0	0	8	0	1	1	17	1	0	117
Cryptista	40	1	63	2	3	6	6	31	30	10	98	8	90	0	0	11	28	39	15	3	3	6	59	15	1	0	5	6	4	91	2	2	0	0	2	0	7	3	1	3	4	0	5	0	0	13	1	0	24	9	0	7	0	69	0	1	10	87	7	0	526
Stramenopiles	242	41	430	14	9	42	28	159	73	103	361	15	349	0	0	4	0	291	74	17	0	18	231	37	0	0	15	27	14	377	18	13	1	0	11	0	16	37	14	16	0	0	12	0	0	31	1	0	73	52	0	17	0	152	0	5	34	150	102	18	1931
Alveolata	225	22	332	20	16	0	18	97	97	54	399	14	290	0	0	18	0	135	203	12	2	2	167	15	0	0	15	14	25	295	20	7	0	0	5	0	44	30	17	14	18	0	17	0	0	83	0	0	62	15	0	9	0	94	0	2	40	399	100	0	1754
Rhizaria	52	5	89	4	6	0	7	30	24	18	95	5	97	0	0	2	1	51	38	2	7	5	53	7	0	0	10	12	4	103	6	2	0	0	3	0	6	8	3	4	2	0	4	0	0	7	0	0	29	12	0	6	0	112	0	2	9	207	161	0	2558
Haptista	70	4	124	4	0	8	8	52	33	16	143	2	156	0	0	5	0	50	131	2	1	3	84	14	0	0	5	30	5	153	5	2	0	0	1	0	10	7	1	5	10	0	6	0	0	12	0	0	18	10	0	5	0	33	0	2	6	72	388	37	413
Hemimastigophora	26	0	38	2	1	0	2	2	17	4	22	0	8	0	0	0	2	2	12	2	0	5	15	4	0	0	3	1	3	14	2	1	0	0	0	0	10	1	0	1	9	0	2	0	0	7	0	0	12	2	0	1	0	10	0	2	2	33	5	0	219
Discoba	208	12	307	17	9	0	36	81	105	27	290	22	106	0	0	17	5	127	62	11	0	11	39	30	0	0	19	5	23	301	25	12	2	0	8	0	39	25	16	13	15	0	31	0	0	71	0	0	148	58	0	0	0	109	0	3	34	375	54	0	2815
Metamonada	79	3	73	4	1	1	17	19	23	0	26	7	1	0	0	1	0	140	52	1	0	5	15	2	0	0	6	0	5	47	3	1	0	0	0	0	2	4	3	2	1	0	15	0	0	23	0	0	15	33	1	0	0	18	0	3	4	51	18	0	393
