	SUV420	SMYD3	SMYD4	SMYD5	SETMAR	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD7	SETD6	SETD8	PRD2	NSD3	EHMT	ASH1	SUV39	ATF7IP	Kmt1_HP1_Cbx1-3-5	MLL1/MLL2	Kmt2_ASH2	Kmt2_CPS40	Kmt2_CXXC1	Kmt2_Dpy30	Kmt2_Menin	Kmt2_NCOA6	Kmt2_PA1	Kmt2_PTIP	Kmt2_RBBP5	Kmt2_UTX	Kmt2_WDR5	Kmt2_WDR82	DOT1	Kmt4_AF10AF17	Kmt4_AF9ENL	Kmt4_TRRAP	EZH	Kmt6EZ_AEBP2	Kmt6EZ_CAF1C_H4-bd_Nurf55	Kmt6_EED	Kmt6EZ_VEFS-Box_Suz12	TYW5	PA24B	NO66	MINA	KDM2B/FBXL10	KDM3A/JMJD1A	KDM4C/JMJD2C	KDM5A/JARID1A	KDM6A/UTX	KDM8	JMJD4	JMJD6	JMJD8	JARID2/Jumonji	HSPBAP1	HIF1	KDM1AB/LSD1
Adig	3	14	14	14	0	3	3	4	3	3	14	0	0	0	11	3	0	1	0	7	7	14	7	0	7	7	7	7	7	0	7	0	7	7	7	7	0	7	14	7	0	7	7	0	14	4	14	11	14	14	14	3	3	0	13	0	14	14	14	7
Hmag	14	14	14	11	3	14	13	14	0	14	14	0	3	14	11	14	1	1	14	7	7	14	7	0	7	7	0	0	0	0	7	7	7	7	7	7	7	7	14	0	0	7	0	14	14	4	14	14	0	14	14	14	14	0	13	0	1	14	0	7
Tadh	14	14	1	14	4	14	13	14	0	0	13	14	0	14	11	14	1	1	0	0	0	14	7	0	7	7	0	0	7	7	7	7	7	7	7	7	7	7	14	7	7	7	7	14	3	4	6	14	14	14	14	14	14	0	13	14	14	14	0	7
Mlei	14	1	14	4	1	14	1	14	0	0	14	0	0	14	11	14	4	1	14	0	7	14	7	0	7	7	0	0	0	7	7	7	7	7	7	7	7	7	14	0	7	7	7	0	14	4	6	3	0	0	14	14	0	0	13	0	11	14	0	7
Ocar	14	3	14	0	0	14	13	1	14	0	14	3	14	11	11	14	8	14	0	0	0	14	0	0	7	7	0	7	0	7	7	0	0	7	7	0	7	7	14	0	0	7	7	0	14	1	1	3	14	14	14	3	14	0	1	13	1	0	14	0
Aque	0	0	0	0	1	14	11	14	0	0	13	0	14	14	11	14	4	1	14	0	0	14	7	0	7	7	0	0	0	0	7	7	7	7	7	7	7	7	14	0	7	7	0	14	3	4	6	14	14	14	14	14	14	14	13	14	1	14	14	7
Scil	0	14	4	14	4	14	13	14	10	14	13	14	14	14	11	9	9	14	13	0	0	14	7	7	7	10	0	0	0	7	7	7	7	7	7	7	0	7	14	7	7	7	7	14	14	4	14	11	14	14	14	14	14	14	13	14	11	14	14	7
Lcom	0	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	0	3	0	7	3	7	7	7	7	0	0	7	7	7	0	7	7	7	7	0	10	3	7	7	7	7	3	3	3	0	3	3	3	3	3	3	3	3	3	0	3	3	7
Mbre	0	10	3	4	3	14	0	14	14	0	14	3	14	14	0	14	0	1	0	0	0	14	7	0	0	7	0	0	0	0	0	7	7	0	7	0	0	7	14	0	7	7	7	11	14	4	14	11	0	14	14	14	14	14	3	0	1	0	14	0
Sros	14	4	1	14	0	14	0	10	3	0	3	0	14	14	0	14	0	4	4	0	7	14	7	0	7	7	0	0	0	0	7	7	7	7	7	0	0	7	14	0	7	7	7	14	14	6	11	11	0	14	14	13	14	14	13	14	4	14	14	0
Cowc	14	6	10	14	0	14	0	14	14	3	13	3	3	14	0	1	0	4	0	0	0	14	7	0	7	7	0	0	0	0	7	0	7	7	7	0	7	7	0	0	7	0	0	0	14	9	1	0	0	14	14	0	0	14	13	14	1	3	14	0
Mvib	3	11	4	0	3	14	0	14	3	14	3	3	0	14	0	14	0	1	0	0	0	6	7	7	7	7	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	13	14	14	6	11	0	0	14	3	14	14	13	14	1	10	5	0
Sarc	3	14	3	3	0	14	0	14	3	0	3	14	0	14	0	14	0	4	0	0	0	14	0	0	7	7	0	0	0	0	0	0	7	7	7	0	0	7	5	0	7	0	0	0	14	14	1	14	0	14	14	0	14	0	13	3	1	11	3	0
Cfra	14	14	3	14	0	14	0	14	14	3	3	14	13	14	0	14	0	4	0	0	0	9	7	7	7	7	0	0	0	7	7	0	7	7	7	0	0	7	0	0	7	0	0	0	14	14	1	14	0	14	14	0	14	0	13	14	1	14	0	0
Awhi	3	3	0	0	0	3	0	3	3	0	3	3	3	3	0	3	3	3	0	0	0	3	7	0	7	0	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	0	3	3	0	0	0	3	3	0	3	0	3	3	0	3	0	0
Pgem	3	3	0	0	0	3	0	3	3	0	3	3	0	3	0	3	0	3	0	0	0	0	7	0	7	0	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	0	3	3	0	0	0	3	0	0	3	0	3	3	0	3	0	7
Apar	14	11	4	13	1	11	1	14	14	13	5	14	13	11	0	14	4	4	14	0	0	14	7	0	7	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	7	7	0	14	14	14	0	14	14	11	5	14	13	13	14	10	13	0	0
Ihof	14	11	4	13	1	14	1	11	14	14	13	14	10	14	0	14	4	4	13	0	0	14	0	0	7	7	0	0	0	0	7	0	7	0	7	0	0	7	0	0	7	0	0	0	4	9	4	0	9	4	4	0	4	3	1	0	1	0	0	0
Clim	14	3	1	0	0	14	0	14	3	3	13	0	3	14	0	1	0	1	0	0	0	5	7	7	0	7	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	0	14	9	6	11	0	14	14	0	3	14	13	0	1	0	3	0
Spom	14	14	1	0	1	14	1	14	3	14	14	0	14	0	0	1	1	1	8	0	0	1	7	0	0	0	0	0	0	0	7	0	7	7	0	0	0	7	0	0	7	7	7	0	0	0	0	11	0	6	14	3	0	14	0	0	1	0	0	7
Tmel	14	4	1	0	0	14	0	14	3	14	3	0	0	0	0	1	0	4	10	0	0	1	7	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	7	7	14	0	0	0	11	14	14	14	10	14	0	1	0	1	0	0	7
Ncra	14	4	1	3	1	14	1	14	3	11	3	0	14	0	0	1	1	4	13	0	0	1	7	7	0	7	0	0	0	0	7	0	0	7	7	0	0	7	8	0	0	0	0	14	11	0	0	0	0	14	14	10	14	0	3	0	1	0	0	7
Scer	0	3	10	0	0	14	0	14	0	3	10	0	14	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	14	3	0	0	0	0	1	0	0	0
Cneo	3	0	0	13	13	14	1	14	3	0	3	0	14	0	5	1	1	1	3	0	0	1	0	0	0	0	0	0	0	0	7	0	0	7	7	0	0	7	8	0	7	7	0	0	0	0	0	3	14	14	14	3	14	14	1	0	1	0	0	0
Ccin	14	5	1	10	0	14	0	14	0	3	3	0	14	0	0	1	3	1	1	0	0	1	0	7	0	0	0	0	0	0	7	0	7	7	7	0	0	7	11	0	7	0	0	0	14	0	0	11	14	14	14	10	14	0	1	0	1	0	0	0
Umay	14	8	3	13	0	14	0	14	0	3	0	0	14	0	0	1	0	4	10	0	0	1	0	7	0	0	0	0	0	0	7	0	7	7	7	0	0	0	5	0	7	0	0	0	14	0	0	14	0	14	14	10	14	14	3	0	1	0	0	0
Mver	14	11	4	13	0	14	0	14	0	14	13	0	14	0	0	1	0	9	4	0	0	5	7	7	0	7	0	0	0	0	7	0	7	7	7	0	0	7	5	0	7	0	0	0	14	0	0	11	3	14	14	10	14	14	13	0	1	0	0	7
Pbla	14	11	3	13	0	14	0	14	3	14	14	0	0	0	0	1	0	9	4	0	0	1	7	7	7	7	0	0	0	0	7	0	7	7	7	0	0	7	5	0	7	0	0	0	14	0	0	11	14	14	14	10	14	14	13	0	1	0	0	0
Mcir	14	14	3	13	0	14	0	14	0	14	14	0	14	0	0	1	0	9	4	0	0	1	7	7	0	7	0	0	0	0	7	0	7	7	7	0	7	7	5	0	7	0	0	0	14	0	0	14	0	14	14	10	14	14	13	0	1	0	0	0
Rory	14	11	4	13	0	14	0	14	0	14	14	0	14	0	0	1	0	9	4	0	0	1	7	7	7	0	0	0	0	0	7	0	7	7	7	0	0	7	5	0	7	0	0	0	11	0	0	11	4	14	14	3	14	14	13	0	1	0	0	0
Umar	14	11	4	13	0	14	0	14	0	14	3	0	14	0	0	1	0	9	4	0	0	1	0	7	7	7	0	0	0	7	0	0	7	0	7	0	0	0	5	0	0	0	0	0	14	0	0	14	0	14	14	3	1	14	13	0	1	0	0	0
Amac	13	1	3	13	6	14	1	11	3	14	3	0	14	0	10	1	3	4	3	0	0	6	7	7	0	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	0	0	0	14	0	0	11	0	14	14	3	14	14	13	0	1	0	0	7
Cang	14	4	1	13	1	14	1	14	3	14	13	0	14	0	10	1	4	1	4	0	0	4	7	7	7	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	0	0	0	14	0	0	11	0	14	14	3	14	14	13	13	1	0	0	0
Bden	14	11	4	0	1	14	1	14	14	14	3	0	13	0	0	1	1	9	8	0	0	1	7	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	5	0	7	0	0	0	0	0	0	0	0	0	14	3	14	0	13	0	1	0	0	0
Spun	14	11	1	13	0	14	0	14	3	0	3	14	3	0	0	1	0	3	9	0	0	1	7	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	7	0	3	0	0	0	11	14	14	14	10	14	14	13	0	1	0	0	7
Rirr	3	14	1	13	3	14	0	14	3	14	13	0	14	0	0	1	0	9	9	0	0	1	7	7	0	7	0	0	0	0	7	0	7	7	7	0	7	7	14	0	7	7	7	0	0	0	0	11	14	14	14	3	14	0	13	0	1	0	0	0
Crev	14	11	1	3	1	14	1	14	0	14	13	0	0	0	0	1	1	1	14	0	0	1	7	0	0	0	0	0	0	7	7	0	7	7	7	0	7	7	0	0	7	0	0	0	0	0	0	11	14	14	14	3	14	14	1	0	1	0	0	0
Ccor	14	4	1	0	1	14	1	14	3	14	3	0	13	0	0	1	1	1	3	0	0	1	7	0	0	0	0	0	0	0	7	0	7	7	7	0	0	7	5	0	7	0	0	0	0	0	0	0	14	14	14	10	0	0	3	0	1	0	0	0
Gpro	14	3	4	10	3	14	0	14	14	5	3	0	0	0	0	1	0	6	0	0	0	1	7	7	0	7	0	0	0	7	7	0	7	7	7	0	0	7	0	0	7	0	0	0	14	0	0	14	14	9	14	10	14	0	3	0	11	0	0	0
Pisp	14	14	1	3	1	14	1	14	3	0	0	0	13	0	10	1	1	1	13	0	0	1	0	0	0	7	0	0	0	7	0	0	7	0	7	0	0	7	5	0	7	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	11	0	0	0
Ecun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npar	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Rall	14	1	1	0	0	14	0	14	3	14	13	0	3	0	0	1	0	1	14	0	0	4	7	0	0	7	0	0	0	0	7	0	7	7	0	0	7	7	14	0	0	0	0	14	14	0	0	0	14	14	9	3	14	0	1	0	1	0	0	0
Nspp	4	4	1	8	3	4	0	4	3	3	3	4	0	0	0	3	0	1	4	0	0	9	7	0	0	7	0	0	0	0	7	7	7	7	7	0	0	7	9	0	0	7	7	0	3	3	5	0	0	3	3	3	3	3	3	3	0	3	3	0
Falb	14	3	0	0	0	10	0	14	3	3	0	14	10	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	7	0	0	7	0	0	0	11	0	0	0	0	9	14	0	4	0	0	0	1	0	0	0
Ttra	0	0	0	8	0	14	0	14	6	3	0	0	0	0	0	1	0	1	0	0	0	9	7	0	0	7	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	0	14	4	6	11	0	4	14	5	1	14	13	14	1	14	3	0
Ddis	0	11	11	3	0	14	0	4	14	3	0	14	3	0	0	11	0	1	9	0	0	1	7	0	0	0	0	0	0	7	7	0	7	7	7	0	0	7	0	0	7	0	0	3	14	4	6	0	0	0	9	10	14	0	3	0	1	0	1	0
Ppal	0	11	11	4	0	14	0	1	10	10	14	14	10	14	0	11	0	1	4	0	0	1	7	0	0	0	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	0	14	4	6	0	0	0	9	10	14	0	3	0	1	0	0	0
Ehis	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Acas	0	14	14	14	3	14	0	14	3	5	1	3	0	10	0	1	0	1	10	0	0	5	7	0	7	0	0	0	0	0	7	0	7	7	7	0	0	7	0	0	7	0	0	0	14	14	11	14	0	9	9	10	14	14	3	0	1	0	3	7
Atha	0	10	11	10	1	14	1	14	10	0	0	0	10	0	0	11	1	1	3	0	0	6	7	0	0	0	0	0	0	0	7	0	7	7	0	0	0	7	11	0	7	7	7	3	14	0	0	0	14	0	6	0	14	14	3	0	11	0	0	7
Mgut	0	10	11	13	1	14	1	1	3	0	3	0	13	0	0	14	4	1	0	0	0	9	7	7	0	0	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	0	11	0	3	0	14	0	6	0	14	14	3	0	11	0	0	7
Acoe	0	1	14	10	1	14	1	4	10	0	3	0	10	0	0	11	4	1	0	0	0	6	7	0	0	0	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	0	14	0	3	0	14	0	9	0	14	14	3	0	1	0	0	7
Bdis	0	11	11	13	4	14	1	14	10	3	0	0	13	0	0	11	4	1	0	0	0	6	7	0	0	0	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	3	14	3	0	0	14	0	9	0	14	14	3	0	1	0	0	7
Sbic	0	1	14	13	1	14	1	14	10	3	0	0	13	0	0	11	4	1	3	0	0	6	7	0	0	0	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	3	14	0	3	0	14	0	9	0	14	14	3	0	1	0	0	7
