	SUV420	SMYD3	SMYD4	SMYD5	SETMAR	SETD1A	SETD1B	SETD2	SETD3	SETD4	SETD5	SETD7	SETD6	SETD8	PRD2	NSD3	EHMT	ASH1	SUV39	ATF7IP	Kmt1_HP1_Cbx1-3-5	MLL1/MLL2	Kmt2_ASH2	Kmt2_CPS40	Kmt2_CXXC1	Kmt2_Dpy30	Kmt2_Menin	Kmt2_NCOA6	Kmt2_PA1	Kmt2_PTIP	Kmt2_RBBP5	Kmt2_UTX	Kmt2_WDR5	Kmt2_WDR82	DOT1	Kmt4_AF10AF17	Kmt4_AF9ENL	Kmt4_TRRAP	EZH	Kmt6EZ_AEBP2	Kmt6EZ_CAF1C_H4-bd_Nurf55	Kmt6_EED	Kmt6EZ_VEFS-Box_Suz12	TYW5	PA24B	NO66	MINA	KDM2B/FBXL10	KDM3A/JMJD1A	KDM4C/JMJD2C	KDM5A/JARID1A	KDM6A/UTX	KDM8	JMJD4	JMJD6	JMJD8	JARID2/Jumonji	HSPBAP1	HIF1	KDM1AB/LSD1
Smoe	0	4	11	13	1	14	1	14	10	0	0	0	13	0	0	1	4	1	3	0	0	9	7	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	7	7	0	14	0	3	11	0	0	9	0	14	14	3	0	1	0	0	7
Ppat	0	10	14	10	1	14	1	14	10	3	0	0	5	0	0	1	1	1	3	0	0	6	7	0	0	7	0	0	0	7	7	0	7	7	0	0	0	7	14	0	7	7	7	0	14	9	1	3	14	0	6	0	14	0	3	0	1	0	0	7
Crei	0	4	1	3	0	11	0	14	3	10	0	0	13	0	0	1	0	1	0	0	0	6	7	0	0	7	0	0	0	0	7	0	7	0	7	0	0	7	0	0	7	0	7	14	14	1	9	0	14	9	0	5	14	11	13	8	5	0	0	0
Vcar	0	11	3	3	0	11	3	14	3	10	0	0	13	0	0	1	0	1	0	0	0	6	7	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	11	0	7	7	0	11	14	1	9	0	14	9	6	5	1	14	13	0	11	5	0	0
Cvar	0	11	4	13	1	4	1	14	3	10	0	0	13	0	0	1	4	1	0	0	0	6	7	0	0	7	7	0	0	0	0	0	7	7	0	0	0	7	14	0	7	7	7	0	14	9	6	0	14	9	6	5	14	14	3	0	1	0	13	0
Otau	0	3	1	13	0	1	0	1	3	0	3	0	10	0	0	1	0	4	5	0	0	6	7	0	0	7	0	0	0	0	7	0	0	7	7	0	0	7	14	0	7	7	7	14	14	9	5	10	0	0	11	10	14	0	3	3	1	0	3	7
Mpus	0	6	1	13	3	1	1	14	10	3	0	3	10	10	0	1	1	1	8	0	0	9	0	0	0	7	0	0	0	0	7	0	0	7	7	0	0	7	14	0	7	7	7	14	14	9	5	0	14	9	14	10	14	14	13	14	1	0	1	7
Cmer	0	0	0	0	0	14	0	9	3	0	3	0	0	0	0	1	0	1	0	0	0	6	7	0	0	7	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	0	0	0	0	11	0	0	9	3	0	0	0	0	1	0	0	7
Ccri	0	0	0	0	0	14	0	14	3	10	0	0	0	0	0	9	0	1	0	0	0	14	0	0	0	7	0	0	0	0	7	0	7	7	0	0	0	7	14	0	7	7	7	0	14	9	5	0	0	1	4	3	4	0	3	0	1	0	0	0
Pyez	0	3	0	0	0	14	0	9	3	0	0	0	0	0	10	1	0	1	0	0	0	9	0	0	0	7	0	0	0	0	0	0	7	7	0	0	0	7	10	0	0	0	7	0	0	0	0	0	0	4	9	5	0	0	0	0	1	0	0	0
Cpar	0	4	1	3	0	14	0	14	4	6	0	0	3	14	0	1	0	1	5	0	0	1	0	0	7	7	0	0	0	0	7	0	7	7	7	0	0	7	10	0	0	0	0	0	9	0	0	0	0	3	4	10	4	0	5	5	1	0	0	0
Esil	0	4	3	0	3	9	3	14	3	0	0	5	13	10	0	6	0	6	5	0	0	6	7	7	0	7	0	0	0	0	7	0	7	7	10	0	0	7	5	0	7	0	0	0	14	9	5	11	0	4	9	3	14	14	13	5	1	14	3	0
Ngad	0	3	1	0	0	4	0	14	3	10	0	0	0	0	0	4	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	7	0	0	7	0	0	7	0	0	0	0	0	5	0	0	4	9	0	0	14	13	3	1	0	3	0
Aano	0	0	0	5	1	4	4	11	3	10	0	0	3	0	0	4	1	6	8	0	0	6	0	0	0	7	0	0	0	0	0	0	7	7	7	0	0	7	14	0	7	0	7	6	1	4	5	14	0	0	9	0	14	5	13	14	1	0	14	0
Ptri	0	0	10	3	0	6	0	14	3	10	0	0	10	0	0	1	0	1	0	0	0	6	0	0	0	7	0	0	0	0	7	0	7	7	7	0	0	7	14	0	7	7	7	0	14	9	5	11	0	9	9	0	11	14	13	3	1	0	0	0
