sps	KAT2_Gcn5	KAT3_p300_CBP	KAT5	KAT6_KAT7	KAT8	KAT9_Elp3	KAT10_Hap2	KAT11	DUF3591	Hat1_N	SRC1_NCOA1	SIRT1	SIRT2_SIRT3	SIRT4	SIRT5	SIRT6_SIRT7	Hos3	HDAC1	HDAC3	HDAC4	HDAC8	HDAC10	HDAC11
Sros	0	14	10	5	13	0	5	0	7	7	0	11	14	14	10	14	0	14	14	4	1	1	0
Cowc	3	14	13	13	13	14	5	0	7	7	0	14	14	14	0	14	0	14	14	14	14	1	14
Mvib	3	14	13	13	13	14	0	0	7	7	0	1	14	14	10	14	0	14	14	11	1	5	14
Sarc	14	14	3	3	3	3	0	0	7	7	0	11	14	14	13	0	0	14	11	14	1	1	0
Cfra	14	14	13	13	13	3	0	0	7	7	0	11	14	14	13	0	0	14	14	14	14	1	0
Awhi	3	3	13	13	13	3	0	0	7	7	0	0	3	3	3	3	0	13	10	13	13	0	0
Pgem	3	3	13	13	13	3	3	0	7	7	0	0	13	13	10	13	0	3	0	3	0	0	0
Apar	14	14	10	13	13	14	0	0	7	7	0	1	14	0	14	14	0	14	14	14	1	1	10
Ihof	4	14	3	3	3	4	0	0	7	7	0	1	14	0	13	14	0	4	4	4	1	1	0
Clim	14	14	13	13	13	14	8	0	7	7	0	14	9	14	13	0	0	14	14	14	11	1	14
Spom	14	0	3	3	0	14	8	14	0	7	0	14	14	0	0	0	0	4	1	1	1	4	0
Tmel	14	0	10	10	10	14	5	14	7	7	0	0	0	14	14	0	14	14	11	1	1	4	0
Ncra	14	0	13	13	10	14	5	14	7	7	0	11	14	14	14	14	14	14	6	1	1	4	0
Scer	14	0	13	10	10	14	14	14	7	7	0	14	14	0	0	0	14	14	11	1	11	4	0
Cneo	14	0	13	10	10	14	5	14	7	7	0	14	14	14	0	0	14	14	14	1	11	4	0
Ccin	14	0	3	0	0	14	5	14	7	7	0	11	14	14	14	0	4	4	1	1	1	4	0
Umay	14	0	13	10	10	14	5	11	7	7	0	14	14	14	0	0	14	14	11	1	11	4	0
Mver	14	0	3	0	0	14	5	14	7	7	0	14	14	14	0	0	0	4	4	4	4	4	0
Pbla	14	0	3	0	0	14	5	11	7	7	0	14	14	14	0	0	0	4	4	4	1	1	0
Mcir	14	0	3	3	0	14	5	14	7	7	0	14	14	14	0	0	0	4	1	4	1	4	0
Rory	14	0	13	13	5	14	5	14	7	7	0	14	14	14	0	0	0	14	11	11	1	14	0
Umar	14	0	3	0	0	14	5	11	7	7	0	14	14	14	0	0	0	4	1	4	1	1	0
Amac	14	0	3	0	0	14	5	14	7	7	0	14	14	14	0	0	0	4	1	0	1	0	0
Cang	14	0	13	0	0	14	5	11	7	7	0	14	14	14	0	0	0	14	11	0	11	0	0
Bden	3	0	3	0	0	14	5	14	7	7	0	14	14	14	0	0	0	4	4	4	1	1	0
Spun	14	0	13	10	5	14	5	0	7	7	0	14	14	14	0	0	10	14	14	1	11	4	0
Rirr	14	0	0	0	3	14	0	14	7	7	0	11	14	14	14	0	0	4	1	1	1	4	4
Crev	14	0	3	0	0	14	5	11	7	7	0	14	14	14	0	0	0	4	1	1	1	4	0
Ccor	14	0	0	3	0	14	5	11	7	7	0	14	14	14	0	0	0	4	4	1	1	4	0
Gpro	14	0	0	3	0	14	5	1	7	7	0	14	14	11	14	14	0	4	4	1	1	4	0
Pisp	14	0	3	0	0	0	0	14	7	7	0	14	14	0	0	0	0	4	4	0	1	0	0
Ecun	3	0	5	10	8	14	0	0	7	0	0	14	1	0	0	0	0	9	6	0	1	0	0
Npar	14	0	5	0	8	14	0	0	7	0	0	11	4	0	0	0	0	9	6	0	1	0	0
Rall	14	0	5	10	8	14	0	11	7	0	0	14	1	0	0	0	0	14	14	1	11	14	0
Nspp	4	0	3	0	3	4	0	0	7	7	0	3	0	3	0	3	13	13	10	0	10	13	0
Falb	14	0	5	0	5	14	0	0	7	7	0	14	6	0	0	0	11	14	14	1	1	14	1
Ttra	14	0	0	10	10	14	0	0	7	7	0	1	9	14	10	14	0	14	11	11	1	11	0
Ddis	14	0	0	0	13	14	5	0	7	7	0	14	14	0	10	0	0	14	14	1	1	4	0
Ppal	3	3	0	0	13	14	5	0	7	7	0	14	14	0	10	14	0	14	14	4	1	1	0
Ehis	14	0	0	0	3	14	0	0	7	7	0	1	14	13	3	0	0	4	1	0	1	0	0
Acas	14	0	0	0	13	14	0	0	7	7	0	11	14	14	14	14	0	14	1	4	11	11	0
Atha	14	4	0	0	13	14	5	0	7	7	0	0	0	14	0	14	0	14	11	1	1	14	14
Mgut	14	4	0	0	3	14	5	0	7	7	0	0	0	14	0	14	0	4	1	1	1	4	4
Acoe	14	4	0	0	3	14	5	0	7	7	0	0	0	14	0	14	0	4	1	1	1	4	4
Bdis	14	4	0	0	3	14	5	0	7	7	0	0	0	14	0	14	0	4	1	1	1	4	4
Sbic	14	4	0	0	13	14	5	0	7	7	0	0	0	14	0	14	0	14	11	1	1	14	14
Smoe	14	4	0	0	3	14	8	0	7	0	0	1	1	14	14	14	0	4	1	1	1	4	4
Ppat	14	4	0	0	13	14	8	0	7	7	0	1	1	14	14	14	0	14	11	1	1	14	14
Crei	14	4	0	3	13	3	0	0	7	0	0	0	0	14	0	14	0	6	11	1	6	4	14
Vcar	14	4	0	0	13	14	0	0	7	7	0	0	0	14	0	14	0	6	11	1	6	4	14
Cvar	14	4	0	0	13	14	0	0	7	7	0	1	14	14	0	14	0	14	11	1	11	4	14
Otau	14	4	0	0	3	14	5	0	7	0	0	1	14	0	0	0	0	4	1	4	1	1	3
Mpus	14	4	0	0	3	14	5	0	7	7	0	1	14	14	0	14	0	4	1	1	1	4	3
Cmer	14	0	0	0	13	14	0	0	7	7	0	14	9	0	0	14	0	14	11	1	1	1	13
Ccri	14	0	0	0	13	14	0	0	7	0	0	14	1	14	0	14	0	11	11	1	1	4	0
Pyez	14	0	3	0	10	14	5	0	7	0	0	1	9	0	0	0	1	14	11	0	1	0	0
Cpar	14	0	0	0	3	3	0	0	7	7	0	1	9	1	13	11	0	4	1	1	1	4	4
Esil	14	4	0	0	13	9	0	0	7	7	0	14	1	14	10	14	0	14	1	1	11	4	13
Ngad	14	4	0	0	13	0	0	0	0	0	0	14	1	14	14	0	0	14	1	4	1	11	0
Aano	14	4	0	0	13	9	5	0	7	0	0	1	14	14	0	14	0	14	1	1	1	14	13
Ptri	14	4	0	0	3	14	5	0	7	0	0	11	9	14	10	14	0	4	1	1	1	4	3
